"","nfi_plot","meas_date","time_step","meas_year"
"157",1052886,2004-07-11,"t1",2004
"158",1052886,2017-08-14,"t2",2017
"159",1052971,2004-07-22,"t1",2004
"160",1052971,2015-08-15,"t2",2015
"161",1052991,2003-08-20,"t1",2003
"162",1052991,2009-07-26,"t2",2009
"163",1053006,2003-08-16,"t1",2003
"164",1053006,2015-08-18,"t2",2015
"165",1053031,2003-08-22,"t1",2003
"166",1053031,2009-07-24,"t2",2009
"167",1059821,2003-08-17,"t1",2003
"168",1059821,2015-08-23,"t2",2015
"169",1059831,2003-08-17,"t1",2003
"170",1059831,2015-08-22,"t2",2015
"171",1059836,2004-07-17,"t1",2004
"172",1059836,2015-08-21,"t2",2015
"173",1059906,2003-08-22,"t1",2003
"174",1059906,2015-08-17,"t2",2015
"175",1066646,2004-07-08,"t1",2004
"176",1066646,2017-08-09,"t2",2017
"177",1066676,2004-07-21,"t1",2004
"178",1066676,2017-08-16,"t2",2017
"179",1066691,2004-07-20,"t1",2004
"180",1066691,2017-08-16,"t2",2017
"181",1066766,2003-08-21,"t1",2003
"182",1066766,2015-08-18,"t2",2015
"183",1073521,2004-07-12,"t1",2004
"184",1073521,2017-08-13,"t2",2017
"185",1073566,2004-07-20,"t1",2004
"186",1073566,2009-07-29,"t2",2009
"187",1080421,2004-07-09,"t1",2004
"188",1080421,2017-08-11,"t2",2017
"189",1080431,2004-07-21,"t1",2004
"190",1080431,2017-08-11,"t2",2017
"191",1080471,2003-08-18,"t1",2003
"192",1080471,2009-07-25,"t2",2009
"193",1080481,2003-08-20,"t1",2003
"194",1080481,2009-07-25,"t2",2009
"195",1087286,2004-07-11,"t1",2004
"196",1087286,2018-08-15,"t2",2018
"197",1087331,2004-07-21,"t1",2004
"198",1087331,2017-08-10,"t2",2017
"199",1087351,2003-08-18,"t1",2003
"200",1087351,2015-08-19,"t2",2015
"201",1087371,2003-08-15,"t1",2003
"202",1087371,2015-08-21,"t2",2015
"203",1087376,2003-08-15,"t1",2003
"204",1087376,2015-08-19,"t2",2015
"205",1094196,2009-07-29,"t1",2009
"206",1094196,2021-07-24,"t2",2021
"207",1100891,2003-06-30,"t1",2003
"208",1100891,2021-07-18,"t2",2021
"209",1100951,2005-07-13,"t1",2005
"210",1100951,2020-08-07,"t2",2020
"211",1100996,2003-07-19,"t1",2003
"212",1100996,2020-08-21,"t2",2020
"213",1101001,2005-07-11,"t1",2005
"214",1101001,2020-08-15,"t2",2020
"215",1101011,2003-07-18,"t1",2003
"216",1101011,2020-07-19,"t2",2020
"217",1101036,2004-08-16,"t1",2004
"218",1101036,2020-07-18,"t2",2020
"219",1101411,2004-07-25,"t1",2004
"220",1101411,2016-08-30,"t2",2016
"221",1107841,2003-07-16,"t1",2003
"222",1107841,2020-08-08,"t2",2020
"223",1107881,2001-08-19,"t1",2001
"224",1107881,2020-08-10,"t2",2020
"225",1107901,2001-07-14,"t1",2001
"226",1107901,2020-07-20,"t2",2020
"227",1107906,2004-08-19,"t1",2004
"228",1107906,2020-07-23,"t2",2020
"229",1107921,2001-07-16,"t1",2001
"230",1107921,2020-07-15,"t2",2020
"231",1108316,2004-07-11,"t1",2004
"232",1108316,2015-08-09,"t2",2015
"233",1108326,2004-07-10,"t1",2004
"234",1108326,2015-08-08,"t2",2015
"235",1114726,2002-07-28,"t1",2002
"236",1114726,2020-08-09,"t2",2020
"237",1114741,2005-07-09,"t1",2005
"238",1114741,2020-08-17,"t2",2020
"239",1114761,2005-07-07,"t1",2005
"240",1114761,2020-08-12,"t2",2020
"241",1114771,2002-07-11,"t1",2002
"242",1114771,2020-07-22,"t2",2020
"243",1114846,2002-07-15,"t1",2002
"244",1114846,2019-07-15,"t2",2019
"245",1115226,2004-07-08,"t1",2004
"246",1115226,2010-06-27,"t2",2010
"247",1121576,2001-08-21,"t1",2001
"248",1121576,2021-08-17,"t2",2021
"249",1121621,2001-08-24,"t1",2001
"250",1121621,2020-08-19,"t2",2020
"251",1128496,2002-07-27,"t1",2002
"252",1128496,2020-08-14,"t2",2020
"253",1128606,2002-07-09,"t1",2002
"254",1128606,2019-07-02,"t2",2019
"255",1128611,2002-07-13,"t1",2002
"256",1128611,2019-07-04,"t2",2019
"257",1128906,2004-07-23,"t1",2004
"258",1128906,2010-07-11,"t2",2010
"259",1128926,2004-07-11,"t1",2004
"260",1128926,2010-07-08,"t2",2010
"261",1128956,2003-07-04,"t1",2003
"262",1128956,2010-06-25,"t2",2010
"263",1128976,2004-07-08,"t1",2004
"264",1128976,2010-06-26,"t2",2010
"265",1135306,2003-07-23,"t1",2003
"266",1135306,2021-07-20,"t2",2021
"267",1135321,2003-07-25,"t1",2003
"268",1135321,2021-07-19,"t2",2021
"269",1135396,2002-07-31,"t1",2002
"270",1135396,2020-08-13,"t2",2020
"271",1135431,2000-08-26,"t1",2000
"272",1135431,2020-07-04,"t2",2020
"273",1135451,2004-08-27,"t1",2004
"274",1135451,2019-06-26,"t2",2019
"275",1135456,2004-08-11,"t1",2004
"276",1135456,2019-07-07,"t2",2019
"277",1135471,2003-06-16,"t1",2003
"278",1135471,2019-07-22,"t2",2019
"279",1135821,2003-07-06,"t1",2003
"280",1135821,2016-08-27,"t2",2016
"281",1135826,2003-07-01,"t1",2003
"282",1135826,2010-06-23,"t2",2010
"283",1135876,2003-08-16,"t1",2003
"284",1135876,2017-06-08,"t2",2017
"285",1142211,2003-06-24,"t1",2003
"286",1142211,2021-08-16,"t2",2021
"287",1142241,2003-06-25,"t1",2003
"288",1142241,2021-07-14,"t2",2021
"289",1142316,2003-07-30,"t1",2003
"290",1142316,2020-07-06,"t2",2020
"291",1142331,2004-08-14,"t1",2004
"292",1142331,2019-07-06,"t2",2019
"293",1142341,2004-08-20,"t1",2004
"294",1142341,2019-07-23,"t2",2019
"295",1142656,2004-07-22,"t1",2004
"296",1142656,2010-07-10,"t2",2010
"297",1149076,2001-08-23,"t1",2001
"298",1149076,2021-07-22,"t2",2021
"299",1149111,2003-07-26,"t1",2003
"300",1149111,2021-08-18,"t2",2021
"301",1149116,2002-07-23,"t1",2002
"302",1149116,2021-07-16,"t2",2021
"303",1149246,2001-07-19,"t1",2001
"304",1149246,2019-07-11,"t2",2019
"305",1149546,2004-07-22,"t1",2004
"306",1149546,2015-08-19,"t2",2015
"307",1149556,2004-07-24,"t1",2004
"308",1149556,2015-08-20,"t2",2015
"309",1149626,2004-07-09,"t1",2004
"310",1149626,2017-06-20,"t2",2017
"311",1149636,2003-07-18,"t1",2003
"312",1149636,2017-06-09,"t2",2017
"313",1156121,2003-06-18,"t1",2003
"314",1156121,2019-07-12,"t2",2019
"315",1156291,2004-07-19,"t1",2004
"316",1156291,2016-09-07,"t2",2016
"317",1156421,2004-06-23,"t1",2004
