"","vect_sp_codes","bark thickness","bud burst timing (mean month)","clonal growth form","coarse root rooting depth","cold_tolerance","cone serotiny","dispersal distance","dispersal syndrome","drought_tolerance","earliest bud burst timing (month)","fire_resistance","fire_tolerance","foliage type (deciduous or evergreen)","latest bud burst timing (month)","leaf dry matter content","leaf flammability","leaf force to punch","leaf photosynthetic rate","leaf texture (coarseness)","leaf thickness","leaf_length","maximum height","plant height, vegetative","resprouting ability","shade_tolerance","specific leaf area","waterlogging_tolerance","wood (or stem-specific) density","water potential at 50% loss of stem hydraulic conductivity","xylem conductance","height of lowest branch","hydraulic safety margin 50%","hydraulic safety margin 88%","leaf mass area","minimum midday xylem pressure potential","seed bank longevity","slope of vulnerability curve","stem conduit diameter (vessels and tracheids)","water potential at 12% loss of stem hydraulic conductivity","water potential at 88% loss of stem hydraulic conductivity","degree of self-pruning","photosynthetic water use efficiency","specific leaf conductivity","stem conduit density (vessels and tracheids)","stomatal conductance","seedbank duration","leaf toughness","minimum predawn xylem pressure potential","stem xylem embolism vulnerability, P50","Leaf texture (sclerophylly, physical strength, toughness)","Photosynthesis rate per leaf area","Plant height generative","leaf water content","seedbank density","stomata density","relative growth rate","intrinsic water use efficiency"
"11","BETU OCC",10,NA,2,0,-52.22,0,NA,6,1.27,NA,NA,1,0,NA,NA,NA,NA,NA,1,NA,NA,3.04707101493447,14.1886617647059,1,3.28,16.15640599,2.63,NA,-1.44997766666667,NA,NA,0.221,-0.0435,NA,-1.3,NA,95.9401131505151,NA,-0.634777777777778,-1.92083333333333,NA,NA,NA,NA,NA,NA,NA,-0.25,-1.08108466778731,NA,NA,NA,NA,NA,NA,NA,NA
"12","BETU PAP",7.92657246376812,4,1,0,-52.22,0,63.3333333333333,6,2.02,4,NA,1,0,4,0.34242,NA,2.02578816777491,11.0992673475843,1,0.21,NA,20,15.3471696319018,1,1.54,24.5761975735289,1.25,0.242561111111111,-2.26171428571428,NA,2.61531034482759,NA,NA,473.551926867833,NA,NA,84.0762125641212,NA,-1.302,-2.516,NA,NA,0.00016947,NA,257.821686518994,NA,NA,NA,NA,NA,NA,NA,NA,2200000,84.1708542713568,NA,NA
"13","BETU PAP NEO",7.92657246376812,4,1,0,-52.22,0,63.3333333333333,6,2.02,4,NA,1,0,4,0.34242,NA,2.02578816777491,11.0992673475843,1,0.21,NA,20,15.3471696319018,1,1.54,24.5761975735289,1.25,0.242561111111111,-2.26171428571428,NA,2.61531034482759,NA,NA,473.551926867833,NA,NA,84.0762125641212,NA,-1.302,-2.516,NA,NA,0.00016947,NA,257.821686518994,NA,NA,NA,NA,NA,NA,NA,NA,2200000,84.1708542713568,NA,NA
"14","BETU PAP PAP",7.92657246376812,4,1,0,-52.22,0,63.3333333333333,6,2.02,4,NA,1,0,4,0.34242,NA,2.02578816777491,11.0992673475843,1,0.21,NA,20,15.3471696319018,1,1.54,24.5761975735289,1.25,0.242561111111111,-2.26171428571428,NA,2.61531034482759,NA,NA,473.551926867833,NA,NA,84.0762125641212,NA,-1.302,-2.516,NA,NA,0.00016947,NA,257.821686518994,NA,NA,NA,NA,NA,NA,NA,NA,2200000,84.1708542713568,NA,NA
"15","CHAM NOO",15,5,NA,NA,NA,0,120,6,NA,4,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,NA,35.5044705882353,1,NA,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","CORN STO",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0.6502577232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","JUNI SCO",7.26354166666667,4,0,NA,-33.3,0,NA,2,4.97,4,0,0,3,4,0.497576923076923,NA,NA,NA,1,NA,0.3,NA,14.4889285714285,0,1.48,3.43737321428572,1.02,0.466602777289895,-4.11747245963913,NA,NA,NA,NA,NA,NA,NA,62.6584540506667,11.0042495860795,-5.54947181384665,-9.85370239740163,NA,NA,0.0001661,5407.5929330985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","LARI LYA",22.86,5,0,3,-50,0,NA,6,3,5,0,0,0,5,NA,NA,NA,NA,0,NA,4,NA,16.5956666666666,0,1,11.185,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","LARI OCC",90.5,3.5,0,3,-41.6,0,240,6,2.42,3,1,0,0,4,0.41186,NA,3.22,6.64890347,0,0.4,4.5,NA,46.8367652173913,0.5,1.35,11.8103160638639,1,0.260512623212882,-4.289872,NA,0.961813333333333,2.809805,2.46219,667.5606,-1.5,NA,42.0194638860677,12.558203547216,-2.68114259567911,-6.02896555324067,0,NA,0.00010685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147250000,NA,NA,NA
"20","PICE ENG",15,6,3,0,-45.5,0,137.5,6,2.58,6,0,0,3,6,NA,NA,NA,5.07859338114286,1,NA,2.6,50,38.3514545454545,0,4.53,3.29642857142857,1.02,0.240555509403757,-3.43602541655023,NA,NA,NA,NA,309.029543251359,NA,NA,46.5362765835939,15.5680369041451,-3.36379602033207,-4.99695397966792,NA,4.17099578611111,NA,2606.28866622405,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
