"","ABIE AMA","ABIE BAL","ABIE LAS","ACER MAC","ALNU INC","ALNU RUB","AMEL ALN","BETU OCC","BETU PAP","BETU PAP NEO","BETU PAP PAP","CHAM NOO","CORN STO","JUNI SCO","LARI LYA","LARI OCC","PICE ENG","PICE ENG GLA","PICE GLA","PICE MAR","PICE SIT","PINU ALB","PINU BAN","PINU CON","PINU CON CON","PINU CON LAT","PINU PON","POPU BAL","POPU TRE","PRUN VIR","PSEU MEN","PSEU MEN GLA","PSEU MEN MEN","QUER MAC","SALI SCO","TAXU BRE","THUJ PLI","TSUG HET","TSUG MER"
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267.45953,0,0,404.20377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.1957,0,0,587.5387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,426.562666,0,0,0,0,0,0,0,0,0,5066.697074,0,0,0,0,0,0,0,0,2073.52776,1555.14582,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.340372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.12168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.5653,0,0,0,0,0,0,0,0,1333.36045,0,0,0,0,0,35.900046,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.8061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.0637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6665.77131,0,0,0,0,0,0,0,0,0,4767.79869,0,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.952837,0,0,0.393463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029.61824,0,0,0,0,0,0,0,0,2296.0128,261.88896,0,0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4303.94356,0,0,0,0,0,0,0,0,0,3011.85184,0,0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",0,0,668.66505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2808.06836,0,0,0,0,0,0,0,0,0,176.26584,0,0,0,0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.75009,0,0,0,3379.0932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
