"","nfi_plot","meas_date","NFI_species","utm_n","utm_e","biomass_composition"
"88",1252701,"2009-AUG-27","PICE MAR",6010000,480000,4457.45166
"89",1252701,"2009-AUG-27","PINU BAN",6010000,480000,2149.80612
"90",1252701,"2009-AUG-27","POPU TRE",6010000,480000,397.85373
"91",1252701,"2018-JUL-25","PICE MAR",6010000,480000,3653.32775
"92",1252701,"2018-JUL-25","PINU BAN",6010000,480000,2274.20603
"93",1252701,"2018-JUL-25","POPU TRE",6010000,480000,528.28582
"94",1252711,"2003-SEP-25","ALNU CRI",6e+06,520000,9.270224
"95",1252711,"2003-SEP-25","POPU TRE",6e+06,520000,1624.767576
"96",1252711,"2013-SEP-01","PICE GLA",6e+06,520000,43.40292
"97",1252711,"2013-SEP-01","PICE MAR",6e+06,520000,106.53444
"98",1252711,"2013-SEP-01","POPU TRE",6e+06,520000,3889.98834
"99",1252721,"2003-SEP-24","PICE MAR",5980000,560000,116.1985
"100",1252721,"2003-SEP-24","POPU BAL",5980000,560000,311.0432
"101",1252721,"2009-AUG-30","PICE MAR",5990000,560000,85.5987
"102",1252721,"2009-AUG-30","POPU BAL",5990000,560000,1281.92064
"103",1252761,"2004-SEP-26","LARI LAR",5940000,310000,1.739027
"104",1252761,"2004-SEP-26","PICE MAR",5940000,310000,173.9027
"105",1252761,"2017-OCT-07","LARI LAR",5940000,710000,1.850177
"106",1252761,"2017-OCT-07","PICE MAR",5940000,710000,183.167523
"107",1266391,"2004-JUL-30","PICE MAR",6040000,590000,112.42938
"108",1266391,"2004-JUL-30","POPU TRE",6040000,590000,1469.61261
"109",1266391,"2012-AUG-06","PICE GLA",6040000,590000,1160.83792
"110",1266391,"2012-AUG-06","PICE MAR",6040000,590000,152.18302
"111",1266391,"2012-AUG-06","POPU BAL",6040000,590000,389.3054
"112",1266391,"2012-AUG-06","POPU TRE",6040000,590000,1836.81366
"113",1266411,"2004-JUL-29","BETU PAP",6030000,670000,3.513246
"114",1266411,"2004-JUL-29","POPU TRE",6030000,670000,21.398862
"115",1266411,"2004-JUL-29","SALI SPP",6030000,670000,7.026492
"116",1266411,"2012-AUG-05","BETU PAP",6030000,670000,64.792751
"117",1266411,"2012-AUG-05","POPU TRE",6030000,670000,93.238349
"118",1266441,"2006-SEP-09","PICE MAR",5990000,390000,1529.33502
"119",1266441,"2006-SEP-09","PINU BAN",5990000,390000,604.55648
"120",1266441,"2016-SEP-04","PICE MAR",5990000,390000,2443.78652
"121",1266441,"2016-SEP-04","PINU BAN",5990000,390000,651.61168
"122",1266451,"2006-SEP-10","PICE MAR",5980000,430000,1512.77964
"123",1266451,"2006-SEP-10","PINU BAN",5980000,430000,89.89356
"124",1266451,"2015-SEP-01","PICE MAR",5980000,430000,1611.66706
"125",1266451,"2015-SEP-01","PINU BAN",5980000,430000,97.08394
"126",1266461,"2006-SEP-20","PICE MAR",5970000,470000,14.58236
"127",1266461,"2006-SEP-20","PINU BAN",5970000,470000,265.84764
