"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","smtree_percent","species_strel","meas_date","utm_n","utm_e"
"61",1135451,0,0,3,"PICE","SPP","",1,0.007,"2004-AUG-27",6540000,500000
"62",1135451,0,1,1,"PICE","MAR","",100,1,"2019-JUN-26",6540000,500000
"63",1135471,0,0,1,"PICE","MAR","",87,0.867,"2003-JUN-16",6540000,580000
"64",1135471,0,0,2,"BETU","NEO","",12,0.127,"2003-JUN-16",6540000,580000
"65",1135471,0,0,3,"LARI","LAR","",1,0.006,"2003-JUN-16",6540000,580000
"66",1135471,0,1,1,"PICE","MAR","",90,0.938,"2019-JUL-22",6540000,580000
"67",1135471,0,1,2,"BETU","NEO","",8,0.05,"2019-JUL-22",6540000,580000
"68",1135471,0,1,3,"LARI","LAR","",2,0.013,"2019-JUL-22",6540000,580000
"69",1142211,0,0,1,"PICE","SPP","",100,1,"2003-JUN-24",6520000,360000
"70",1142211,0,1,1,"PICE","ENG","GLA",100,1,"2021-AUG-16",6520000,360000
"71",1142241,0,0,1,"PINU","CON","",100,1,"2003-JUN-25",6520000,480000
"72",1142241,0,1,1,"ALNU","SPP","",100,1,"2021-JUL-14",6520000,480000
"73",1142316,0,0,1,"PICE","MAR","",80,0.977,"2003-JUL-30",6530000,440000
"74",1142316,0,0,2,"PINU","CON","LAT",20,0.023,"2003-JUL-30",6530000,440000
"75",1142316,0,1,1,"PICE","MAR","",100,1,"2020-JUL-06",6530000,440000
"76",1142331,0,0,1,"PICE","MAR","",100,1,"2004-AUG-14",6520000,500000
"77",1142331,0,1,1,"PICE","MAR","",100,1,"2019-JUL-06",6520000,500000
"78",1142341,0,0,1,"PICE","GLA","",100,1,"2004-AUG-20",6520000,540000
"79",1142341,0,1,1,"PICE","GLA","",50,0.75,"2019-JUL-23",6520000,540000
"80",1142341,0,1,2,"BETU","PAP","",50,0.25,"2019-JUL-23",6520000,540000
"81",1149076,0,0,1,"ABIE","LAS","",100,1,"2001-AUG-23",6490000,650000
"82",1149076,0,1,1,"ABIE","LAS","",100,1,"2021-JUL-22",6490000,650000
"83",1149116,0,0,1,"ABIE","LAS","",100,1,"2002-JUL-23",6500000,460000
"84",1149116,0,1,1,"ABIE","LAS","",100,1,"2021-JUL-16",6500000,460000
"85",1149246,0,0,1,"BETU","OCC","",87,0.976,"2001-JUL-19",6500000,640000
"86",1149246,0,1,1,"LARI","LAR","",100,1,"2019-JUL-11",6500000,640000
"87",1162966,0,0,3,"PICE","GLA","",14,0.071,"2004-AUG-24",6460000,470000
"88",1162966,0,1,1,"ABIE","LAS","",65,0.5,"2020-JUL-07",6460000,470000
"89",1162966,0,1,2,"PICE","MAR","",35,0.5,"2020-JUL-07",6460000,470000
"90",1162986,0,0,1,"PICE","GLA","",100,1,"2001-JUL-21",6460000,550000
"91",1162986,0,1,1,"PICE","GLA","",100,1,"2019-JUL-09",6460000,550000
"92",1163006,0,0,1,"LARI","LAR","",83,0.8,"2001-JUL-19",6460000,630000
"93",1163006,0,0,2,"PICE","MAR","",18,0.2,"2001-JUL-19",6460000,630000
"94",1163006,0,1,1,"LARI","LAR","",73,0.571,"2019-JUL-17",6460000,630000
"95",1163006,0,1,2,"PICE","MAR","",27,0.429,"2019-JUL-17",6460000,630000
"96",1176651,0,0,1,"PICE","MAR","",100,1,"2001-AUG-18",6420000,530000
"97",1176651,0,1,1,"PICE","MAR","",100,1,"2021-AUG-04",6420000,530000
"98",1176656,0,0,1,"ABIE","LAS","",100,1,"2003-JUN-27",6420000,550000
"99",1176656,0,1,1,"ABIE","LAS","",100,1,"2021-JUL-31",6420000,550000
"100",1176756,0,0,1,"PICE","MAR","",100,1,"2003-JUN-20",6420000,590000
"101",1176756,0,1,1,"PICE","MAR","",97,0.977,"2019-JUL-14",6420000,590000
"102",1176756,0,1,2,"LARI","LAR","",3,0.023,"2019-JUL-14",6420000,590000
"103",1183516,0,0,1,"ABIE","LAS","",66,0.857,"2005-JUL-18",6400000,470000
"104",1183516,0,0,2,"PICE","ENG","GLA",34,0.143,"2005-JUL-18",6400000,470000
"105",1183516,0,1,1,"PICE","SPP","",100,1,"2021-JUL-29",6400000,470000
"106",1183601,0,0,1,"PICE","GLA","",100,1,"2003-JUN-21",6400000,450000
"107",1183601,0,1,1,"PICE","GLA","",100,1,"2019-JUL-20",6400000,450000
"108",1204261,0,0,1,"PICE","MAR","",98,0.993,"2003-JUN-26",6340000,530000
"109",1204261,0,0,2,"PICE","GLA","",2,0.007,"2003-JUN-26",6340000,530000
"110",1204261,0,1,1,"PICE","MAR","",100,1,"2019-JUL-26",6340000,530000
"111",1204271,0,0,1,"PICE","MAR","",56,0.375,"2002-JUL-21",6340000,570000
"112",1204271,0,0,2,"PICE","GLA","",22,0.313,"2002-JUL-21",6340000,570000
"113",1204271,0,0,3,"PINU","CON","LAT",22,0.313,"2002-JUL-21",6340000,570000
"114",1204271,0,1,1,"PICE","MAR","",86,0.895,"2019-JUL-27",6340000,570000
"115",1204271,0,1,2,"PICE","GLA","",8,0.105,"2019-JUL-27",6340000,570000
"116",1204281,0,0,1,"PICE","GLA","",58,0.8,"2001-JUL-25",6340000,610000
"117",1204281,0,0,2,"POPU","TRE","",42,0.2,"2001-JUL-25",6340000,610000
"118",1204281,0,1,1,"PICE","GLA","",74,0.778,"2019-JUL-23",6340000,610000
"119",1204281,0,1,2,"PICE","MAR","",26,0.222,"2019-JUL-23",6340000,610000
"120",1211056,0,0,1,"ABIE","LAS","",100,1,"2005-JUL-17",6320000,550000
"121",1211056,0,1,1,"ABIE","LAS","",100,1,"2018-JUL-12",6320000,550000
"122",1211116,0,0,1,"ABIE","LAS","",100,1,"2005-JUN-18",6330000,430000
"123",1211116,0,1,1,"ABIE","LAS","",100,1,"2018-JUL-15",6330000,430000
"124",1217986,0,0,1,"ABIE","LAS","",100,1,"2003-JUL-27",6310000,390000
"125",1217986,0,1,1,"ABIE","LAS","",99,0.944,"2018-JUL-21",6310000,390000
"126",1217986,0,1,2,"PICE","ENG","GLA",2,0.056,"2018-JUL-21",6310000,390000
"127",1217996,0,0,1,"PICE","GLA","",89,0.983,"2002-AUG-18",6310000,430000
"128",1217996,0,0,2,"ABIE","LAS","",11,0.017,"2002-AUG-18",6310000,430000
"129",1217996,0,1,1,"PICE","GLA","",92,0.921,"2018-JUL-11",6310000,430000
"130",1217996,0,1,2,"ABIE","LAS","",9,0.079,"2018-JUL-11",6310000,430000
"131",1224876,0,0,1,"ABIE","LAS","",100,1,"2005-JUN-19",6290000,430000
"132",1224876,0,1,1,"ABIE","LAS","",100,1,"2018-JUL-13",6290000,430000
"133",1224886,0,0,1,"PICE","ENG","GLA",100,1,"2002-JUL-06",6280000,470000
"134",1224886,0,1,1,"PICE","ENG","GLA",100,1,"2019-JUL-28",6280000,470000
"135",1231676,0,0,1,"PICE","LUT","X",100,1,"2001-AUG-26",6260000,470000
"136",1231676,0,1,1,"ABIE","LAS","",98,0.556,"2021-JUL-26",6260000,470000
"137",1231676,0,1,2,"TSUG","HET","",2,0.444,"2021-JUL-26",6260000,470000
"138",1231761,0,0,1,"PICE","ENG","GLA",59,0.667,"2000-AUG-01",6260000,450000
"139",1231761,0,0,2,"POPU","BAL","",41,0.333,"2000-AUG-01",6260000,450000
"140",1231761,0,1,5,"POPU","BAL","BAL",3,0.029,"2018-JUL-20",6260000,450000
"141",1245481,0,0,1,"ABIE","LAS","",100,1,"2002-AUG-16",6230000,660000
"142",1245481,0,1,1,"ABIE","LAS","",100,1,"2017-JUL-24",6230000,660000
"143",1245546,0,0,1,"PICE","MAR","",82,0.417,"2000-JUL-30",6220000,540000
"144",1245546,0,1,1,"PICE","ENG","GLA",56,0.5,"2019-SEP-10",6220000,540000
"145",1259296,0,0,1,"ABIE","LAS","",100,1,"2001-JUN-17",6180000,500000
"146",1259296,0,1,1,"ABIE","LAS","",100,1,"2018-JUL-09",6180000,500000
"147",1273001,0,0,1,"ABIE","LAS","",100,1,"2002-JUL-09",6150000,660000
"148",1273001,0,1,1,"ABIE","LAS","",100,1,"2017-AUG-18",6150000,660000
"149",1273031,0,0,1,"ABIE","LAS","",82,0.5,"2003-AUG-28",6150000,400000
"150",1273031,0,0,2,"PINU","CON","LAT",12,0.438,"2003-AUG-28",6150000,400000
"151",1273031,0,0,3,"PICE","ENG","GLA",6,0.063,"2003-AUG-28",6150000,400000
"152",1273031,0,1,1,"ABIE","LAS","",71,0.692,"2018-JUL-08",6150000,400000
"153",1273031,0,1,2,"PICE","ENG","GLA",16,0.231,"2018-JUL-08",6150000,400000
"154",1273031,0,1,3,"PINU","CON","",14,0.077,"2018-JUL-08",6150000,400000
"155",1279876,0,0,1,"ABIE","LAS","",100,1,"2003-AUG-18",6130000,640000
"156",1279876,0,1,1,"ABIE","LAS","",100,1,"2017-JUL-12",6130000,640000
"157",1279961,0,0,1,"PICE","SPP","",100,1,"2000-JUL-28",6120000,600000
"158",1279961,0,1,1,"ABIE","LAS","",55,0.5,"2018-JUL-07",6120000,600000
"159",1279961,0,1,2,"PICE","ENG","",45,0.5,"2018-JUL-07",6120000,600000
"160",1286771,0,0,1,"PICE","ENG","GLA",100,1,"2001-JUN-21",6110000,320000
"161",1286771,0,1,1,"PICE","ENG","GLA",100,1,"2014-JUL-22",6110000,320000
"162",1286856,0,0,1,"PICE","MAR","",100,1,"2003-JUN-29",6100000,660000
"163",1286856,0,1,1,"PICE","MAR","",100,1,"2019-SEP-06",6100000,660000
"164",1293696,0,0,1,"ABIE","LAS","",89,0.986,"2001-JUN-18",6080000,500000
"165",1293696,0,0,2,"PICE","ENG","GLA",11,0.014,"2001-JUN-18",6080000,500000
"166",1293696,0,1,1,"ABIE","LAS","",81,0.977,"2014-AUG-28",6080000,500000
"167",1293696,0,1,2,"PICE","ENG","GLA",19,0.023,"2014-AUG-28",6080000,500000
"168",1300521,0,0,1,"ABIE","LAS","",100,1,"2002-JUL-04",6070000,660000
"169",1300521,0,1,1,"ABIE","LAS","",97,0.968,"2017-JUL-08",6070000,660000
"170",1300521,0,1,2,"PICE","ENG","GLA",3,0.032,"2017-JUL-08",6070000,660000
"171",1300581,0,0,1,"ABIE","LAS","",100,1,"2001-JUN-13",6060000,520000
"172",1300581,0,1,1,"ABIE","LAS","",96,0.75,"2014-AUG-24",6060000,520000
"173",1300581,0,1,2,"PICE","ENG","GLA",4,0.25,"2014-AUG-24",6060000,520000
"174",1300611,0,0,1,"ABIE","LAS","",93,0.963,"2001-JUL-29",6060000,640000
"175",1300611,0,0,2,"PICE","ENG","",7,0.037,"2001-JUL-29",6060000,640000
"176",1300611,0,1,1,"ABIE","LAS","",100,1,"2019-JUL-31",6060000,640000
"177",1307371,0,0,1,"TSUG","MER","",72,0.818,"2003-JUL-25",6040000,540000
"178",1307371,0,0,2,"ABIE","LAS","",28,0.182,"2003-JUL-25",6040000,540000
"179",1307371,0,1,1,"TSUG","MER","",99,0.8,"2017-AUG-16",6040000,540000
"180",1307371,0,1,2,"ABIE","LAS","",1,0.2,"2017-AUG-16",6040000,540000
"181",1307401,0,0,1,"ABIE","LAS","",100,1,"2001-AUG-28",6050000,660000
"182",1307401,0,1,1,"ABIE","LAS","",100,1,"2017-JUL-10",6050000,660000
"183",1307451,0,0,1,"ABIE","LAS","",100,1,"2001-JUN-15",6040000,480000
"184",1307451,0,1,1,"ABIE","LAS","",84,0.857,"2014-AUG-26",6040000,480000
"185",1307451,0,1,2,"PICE","ENG","GLA",16,0.143,"2014-AUG-26",6040000,480000
"186",1314251,0,0,1,"TSUG","MER","",39,0.882,"2003-JUL-23",6020000,540000
"187",1314251,0,0,2,"ABIE","AMA","",32,0.118,"2003-JUL-23",6020000,540000
"188",1314251,0,1,1,"TSUG","MER","",57,0.8,"2017-JUL-27",6020000,540000
"189",1314251,0,1,2,"ABIE","AMA","",44,0.2,"2017-JUL-27",6020000,540000
"190",1314291,0,0,1,"PINU","CON","",100,1,"2002-JUN-27",6030000,320000
"191",1314291,0,1,1,"PINU","CON","",100,1,"2017-AUG-20",6030000,320000
"192",1314311,0,0,1,"PINU","CON","LAT",66,0.75,"2002-AUG-12",6030000,400000
"193",1314311,0,0,2,"ABIE","LAS","",20,0.125,"2002-AUG-12",6030000,400000
"194",1314311,0,0,3,"PICE","ENG","GLA",15,0.125,"2002-AUG-12",6030000,400000
"195",1314311,0,1,1,"PINU","CON","",100,1,"2014-JUL-21",6030000,400000
"196",1314351,0,0,1,"PICE","ENG","GLA",100,1,"2002-AUG-14",6020000,560000
"197",1314351,0,1,1,"PICE","ENG","GLA",100,1,"2014-AUG-18",6020000,560000
"198",1321206,0,0,1,"POPU","TRE","",100,1,"2004-AUG-24",6000000,450000
"199",1321206,0,1,1,"POPU","TRE","",64,0.75,"2014-JUL-27",6000000,450000
"200",1321206,0,1,2,"PICE","ENG","GLA",36,0.25,"2014-JUL-27",6000000,450000
"201",1321236,0,0,1,"ABIE","LAS","",62,0.75,"2003-JUL-14",6000000,570000
"202",1321236,0,0,2,"PICE","ENG","GLA",38,0.25,"2003-JUL-14",6000000,570000
"203",1321236,0,1,1,"ABIE","LAS","",100,1,"2014-AUG-18",6000000,570000
"204",1328041,0,0,1,"PICE","ENG","GLA",100,1,"2003-SEP-04",5990000,670000
"205",1328041,0,1,1,"PICE","ENG","GLA",100,1,"2017-JUL-15",5990000,670000
"206",1328086,0,0,1,"PICE","ENG","GLA",58,0.909,"2002-AUG-13",5980000,450000
"207",1328086,0,0,2,"PINU","CON","",42,0.091,"2002-AUG-13",5980000,450000
"208",1328086,0,1,1,"PINU","CON","",100,1,"2014-JUL-19",5980000,450000
"209",1334986,0,0,1,"PICE","ENG","GLA",87,0.818,"2003-JUL-22",5960000,530000
"210",1334986,0,1,1,"PICE","ENG","GLA",100,1,"2014-AUG-09",5960000,530000
"211",1335001,0,0,1,"ABIE","LAS","",100,1,"2003-JUL-21",5960000,590000
"212",1335001,0,1,1,"ABIE","LAS","",83,0.8,"2014-AUG-17",5960000,590000
"213",1335001,0,1,2,"PICE","ENG","",17,0.2,"2014-AUG-17",5960000,590000
"214",1341751,0,0,1,"CHAM","NOO","",71,0.755,"2003-JUL-28",5940000,470000
"215",1341751,0,0,2,"TSUG","MER","",18,0.226,"2003-JUL-28",5940000,470000
"216",1341751,0,0,3,"TSUG","HET","",11,0.019,"2003-JUL-28",5940000,470000
"217",1341751,0,1,1,"CHAM","NOO","",84,0.833,"2017-AUG-11",5940000,470000
"218",1341751,0,1,2,"TSUG","MER","",16,0.139,"2017-AUG-11",5940000,470000
"219",1341751,0,1,3,"TSUG","HET","",1,0.028,"2017-AUG-11",5940000,470000
"220",1341776,0,0,1,"TSUG","HET","",93,0.722,"2003-JUL-27",5940000,570000
"221",1341776,0,0,2,"TSUG","MER","",7,0.278,"2003-JUL-27",5940000,570000
"222",1341776,0,1,1,"TSUG","HET","",84,0.75,"2017-AUG-10",5940000,570000
"223",1341776,0,1,2,"TSUG","MER","",16,0.25,"2017-AUG-10",5940000,570000
"224",1348741,0,0,1,"ABIE","LAS","",87,0.984,"2003-JUL-18",5920000,510000
"225",1348741,0,0,2,"BETU","PAP","",14,0.016,"2003-JUL-18",5920000,510000
"226",1348741,0,1,1,"ABIE","LAS","",100,1,"2014-AUG-15",5920000,510000
"227",1348746,0,0,1,"PSEU","MEN","GLA",65,0.941,"2003-JUN-24",5920000,530000
"228",1348746,0,0,2,"PICE","ENG","GLA",35,0.059,"2003-JUN-24",5920000,530000
"229",1348746,0,1,3,"ABIE","LAS","",9,0.156,"2009-AUG-04",5920000,530000
"230",1348746,0,2,1,"ABIE","LAS","",61,0.667,"2014-JUL-16",5920000,530000
"231",1348756,0,1,1,"PICE","ENG","",100,1,"2009-AUG-05",5920000,570000
"232",1348756,0,2,1,"PICE","ENG","GLA",100,1,"2014-AUG-30",5920000,570000
"233",1355561,0,0,1,"ABIE","LAS","",66,0.875,"2002-JUN-29",5910000,670000
"234",1355561,0,0,2,"PICE","SPP","",34,0.125,"2002-JUN-29",5910000,670000
"235",1355561,0,1,1,"ABIE","LAS","",100,1,"2017-JUL-18",5910000,670000
"236",1355591,0,0,1,"POPU","TRE","",100,1,"2003-JUN-17",5910000,390000
"237",1355591,0,1,1,"POPU","TRE","",52,0.536,"2014-JUL-28",5910000,390000
"238",1355591,0,1,2,"PICE","MAR","",25,0.286,"2014-JUL-28",5910000,390000
"239",1355591,0,1,3,"PICE","ENG","GLA",23,0.179,"2014-JUL-28",5910000,390000
"240",1355646,0,0,1,"ABIE","LAS","",100,1,"2003-JUL-08",5900000,610000
"241",1355646,0,1,1,"ABIE","LAS","",100,1,"2013-SEP-15",5900000,610000
"242",1355666,0,0,1,"TSUG","HET","",42,0.455,"2003-JUL-16",5890000,690000
"243",1355666,0,0,2,"THUJ","PLI","",26,0.273,"2003-JUL-16",5890000,690000
"244",1355666,0,0,3,"PINU","CON","LAT",19,0.152,"2003-JUL-16",5890000,690000
"245",1355666,0,0,4,"PICE","ENG","GLA",13,0.121,"2003-JUL-16",5890000,690000
"246",1355666,0,1,3,"PICE","ENG","GLA",25,0.2,"2016-JUL-22",5890000,290000
"247",1362476,0,0,1,"PICE","SPP","",100,1,"2004-JUL-29",5890000,410000
"248",1362476,0,1,1,"POPU","TRE","",100,1,"2013-AUG-28",5890000,410000
"249",1369366,0,0,1,"PINU","CON","LAT",100,1,"2003-JUL-03",5860000,450000
"250",1369366,0,1,1,"PINU","CON","LAT",100,1,"2013-AUG-27",5860000,450000
"251",1369371,0,0,1,"PINU","CON","LAT",64,0.69,"2002-JUL-16",5860000,470000
"252",1369371,0,0,2,"PICE","MAR","",36,0.31,"2002-JUL-16",5860000,470000
"253",1369371,0,1,1,"PINU","CON","LAT",61,0.618,"2009-AUG-06",5860000,470000
"254",1369371,0,1,2,"PICE","MAR","",39,0.382,"2009-AUG-06",5860000,470000
"255",1369371,0,2,1,"PINU","CON","LAT",68,0.688,"2013-AUG-28",5860000,470000
"256",1369371,0,2,2,"PICE","MAR","",32,0.313,"2013-AUG-28",5860000,470000
"257",1369386,0,0,1,"PINU","CON","LAT",95,0.973,"2002-JUL-18",5860000,530000
"258",1369386,0,0,2,"POPU","TRE","",5,0.027,"2002-JUL-18",5860000,530000
"259",1369386,0,1,1,"PINU","CON","LAT",58,0.5,"2013-AUG-22",5860000,530000
"260",1369386,0,1,2,"POPU","TRE","",42,0.429,"2013-AUG-22",5860000,530000
"261",1369386,0,1,3,"PICE","ENG","",0,0.071,"2013-AUG-22",5860000,530000
"262",1376271,0,0,1,"PSEU","MEN","GLA",100,1,"2002-JUL-17",5840000,550000
"263",1376271,0,1,1,"PINU","CON","",87,0.833,"2013-AUG-31",5840000,550000
"264",1376271,0,1,2,"PICE","ENG","",13,0.167,"2013-AUG-31",5840000,550000
"265",1376296,0,0,1,"ABIE","LAS","",100,1,"2002-JUL-12",5830000,650000
"266",1376296,0,1,1,"ABIE","LAS","",100,1,"2013-AUG-23",5830000,650000
"267",1383116,0,0,1,"PICE","SPP","",100,1,"2004-JUN-20",5830000,410000
"268",1383116,0,1,1,"PICE","ENG","",100,1,"2013-AUG-07",5830000,410000
"269",1383146,0,0,1,"PSEU","MEN","GLA",100,1,"2003-JUL-05",5820000,530000
"270",1383146,0,1,1,"PSEU","MEN","GLA",100,1,"2013-SEP-14",5820000,530000
"271",1396871,0,0,1,"PINU","CON","LAT",95,0.967,"2003-JUN-26",5790000,390000
