"","nfi_plot","meas_date","biomass_total","meas_num","species_num","genus","species","variety","percent","species_rel","utm_n","utm_e","percent/100 * biomass_total"
"387",1307826,"2008-JUN-10",13776.15,1,1,"POPU","TRE",NA,90.4,0.833,5750000,350000,12453.6396
"388",1307926,"2003-AUG-30",3851.18,0,3,"PICE","GLA",NA,8.5,0.048,5600000,290000,327.3503
"389",1307926,"2009-AUG-19",4395.5,1,4,"ABIE","BAL",NA,0.8,0.026,5600000,720000,35.164
"390",1307926,"2009-AUG-19",4395.5,1,3,"PICE","GLA",NA,8.8,0.051,5600000,720000,386.804
"391",1307926,"2019-SEP-19",4967.9,2,3,"PICE","GLA",NA,9.4,0.049,5600000,720000,466.9826
"392",1307926,"2019-SEP-19",4967.9,2,4,"ABIE","BAL",NA,0.9,0.024,5600000,720000,44.7111
"393",1314711,"2003-JUN-07",2911.42,0,1,"POPU","TRE",NA,90.5,0.918,5720000,360000,2634.8351
"394",1314711,"2018-AUG-24",5203.49,2,1,"POPU","TRE",NA,77.3,0.8,5720000,360000,4022.29777
"395",1314711,"2018-AUG-24",5203.49,2,2,"PICE","MAR",NA,10.7,0.13,5720000,360000,556.77343
"396",1314711,"2018-AUG-24",5203.49,2,3,"PICE","GLA",NA,8.3,0.052,5720000,360000,431.88967
"397",1314711,"2018-AUG-24",5203.49,2,4,"POPU","BAL",NA,3.6,0.017,5720000,360000,187.32564
"398",1314811,"2003-JUN-05",1772.78,0,1,"POPU","TRE",NA,59.6,0.826,5570000,3e+05,1056.57688
"399",1314811,"2003-JUN-05",1772.78,0,3,"ABIE","BAL",NA,18.1,0.043,5570000,3e+05,320.87318
"400",1314811,"2003-JUN-05",1772.78,0,2,"PICE","GLA",NA,22.3,0.13,5570000,3e+05,395.32994
"401",1314811,"2009-JUN-03",1677.51,1,3,"ABIE","BAL",NA,16.4,0.074,5570000,3e+05,275.11164
"402",1314811,"2009-JUN-03",1677.51,1,2,"PICE","GLA",NA,22.6,0.148,5570000,3e+05,379.11726
"403",1314811,"2009-JUN-03",1677.51,1,1,"POPU","TRE",NA,61,0.778,5570000,3e+05,1023.2811
"404",1314811,"2019-JUN-22",2720.36,2,3,"ABIE","BAL",NA,5.4,0.029,5570000,730000,146.89944
"405",1314811,"2019-JUN-22",2720.36,2,2,"PICE","GLA",NA,25.5,0.118,5570000,730000,693.6918
"406",1314811,"2019-JUN-22",2720.36,2,1,"POPU","TRE",NA,69,0.853,5570000,730000,1877.0484
"407",1321586,"2003-JUN-03",5052.36,0,1,"POPU","TRE",NA,84.2,0.919,5710000,330000,4254.08712
"408",1321586,"2008-JUN-23",6199.04,1,1,"POPU","TRE",NA,83.6,0.92,5710000,330000,5182.39744
"409",1321586,"2018-AUG-02",6322.84,2,1,"POPU","TRE",NA,78.8,0.899,5710000,330000,4982.39792
"410",1321686,"2009-JUN-01",297.4,1,3,"POPU","TRE",NA,8.3,0.25,5560000,7e+05,24.6842
