"","nfi_plot","meas_date","NFI_species","utm_n","utm_e","biomass_composition"
"73",1156461,"2016-AUG-26","PICE MAR  ",6170000,490000,114.23324
"74",1156461,"2016-AUG-26","POPU BAL  ",6170000,490000,294.48651
"75",1156461,"2016-AUG-26","POPU TRE  ",6170000,490000,16.875365
"76",1156501,"2003-JUL-01","PICE MAR  ",6110000,640000,3566.273
"77",1156501,"2003-JUL-01","PINU BAN  ",6110000,640000,654.6581
"78",1156501,"2017-JUN-12","PICE MAR  ",6110000,640000,5093.40494
"79",1156501,"2017-JUN-12","PINU BAN  ",6110000,640000,729.14076
"80",1170181,"2004-JUL-21","PICE MAR  ",6190000,330000,2394.75
"81",1170181,"2016-AUG-15","PICE MAR  ",6190000,330000,3689.41
"82",1170231,"2003-AUG-17","PICE MAR  ",6110000,520000,25.3568
"83",1170231,"2003-AUG-17","PINU BAN  ",6110000,520000,278.9293
"84",1170231,"2017-JUL-05","PICE MAR  ",6110000,520000,52.080339
"85",1170231,"2017-JUL-05","PINU BAN  ",6110000,520000,406.636834
"86",1170251,"2003-AUG-12","BETU PAP PAP",6080000,590000,56.4214
"87",1170251,"2003-AUG-12","PICE GLA  ",6080000,590000,1491.137
"88",1170251,"2003-AUG-12","PICE MAR  ",6080000,590000,6512.6416
"89",1170251,"2017-JUL-06","PICE GLA  ",6080000,510000,1965.0944
"90",1170251,"2017-JUL-06","PICE MAR  ",6080000,510000,4175.8256
"91",1177066,"2004-JUN-22","ALNU CRI  ",6160000,340000,1.998039
"92",1177066,"2004-JUN-22","BETU PAP  ",6160000,340000,17.316338
"93",1177066,"2004-JUN-22","PINU BAN  ",6160000,340000,0.666013
"94",1177066,"2004-JUN-22","POPU TRE  ",6160000,340000,1352.538884
"95",1177066,"2004-JUN-22","SALI SPP  ",6160000,340000,0.666013
"96",1177066,"2016-AUG-14","BETU PAP PAP",6160000,340000,30.623409
"97",1177066,"2016-AUG-14","PINU BAN  ",6160000,340000,1.801377
"98",1177066,"2016-AUG-14","POPU TRE  ",6160000,340000,807.892914
"99",1177071,"2004-JUN-22","ALNU CRI  ",6160000,360000,2.094144
"100",1177071,"2004-JUN-22","PINU BAN  ",6160000,360000,13.69248
"101",1177071,"2004-JUN-22","SALI SPP  ",6160000,360000,0.483264
"102",1177071,"2015-AUG-22","PINU BAN  ",6160000,360000,29.56685
"103",1177121,"2003-AUG-14","PICE MAR  ",6080000,550000,3435.156055
"104",1177121,"2003-AUG-14","PINU BAN  ",6080000,550000,1637.608285
"105",1177121,"2003-AUG-14","POPU TRE  ",6080000,550000,120.429
"106",1177121,"2012-AUG-22","PICE MAR  ",6080000,550000,270.157316
"107",1177121,"2012-AUG-22","PINU BAN  ",6080000,550000,17.244084
"108",1177126,"2003-AUG-15","PICE GLA  ",6070000,560000,0
"109",1177126,"2003-AUG-15","POPU TRE  ",6070000,560000,114.6223
"110",1177126,"2017-JUL-07","ABIE BAL  ",6070000,560000,0
"111",1177126,"2017-JUL-07","PICE GLA  ",6070000,560000,9.38086
"112",1177126,"2017-JUL-07","POPU TRE  ",6070000,560000,178.23634
"113",1183951,"2003-AUG-30","PICE MAR  ",6140000,350000,3.0994
"114",1183951,"2016-AUG-16","PICE MAR  ",6140000,350000,4.7155
"115",1183991,"2003-AUG-13","PICE MAR  ",6080000,5e+05,842.480754
"116",1183991,"2003-AUG-13","POPU TRE  ",6080000,5e+05,28.11173
"117",1183991,"2017-JUN-13","PICE MAR  ",6080000,5e+05,1849.06452
"118",1183991,"2017-JUN-13","POPU BAL  ",6080000,5e+05,385.27762
"119",1183991,"2017-JUN-13","POPU TRE  ",6080000,5e+05,0
"120",1190916,"2004-JUN-12","LARI LAR  ",5990000,660000,48.69396
