"","nfi_plot","meas_date","smtree_biomass","...1","loc_id","meas_num","species_num","genus","species","variety","smtree_percent","species_strel","utm_n","utm_e","smtree_percent/100","smtree_percent/100 * smtree_biomass"
"1",1101411,"2004-JUL-25",50.1891,1,0,0,1,"SALI","SPP",NA,99,0.933,6330000,520000,0.99,49.687209
"2",1101411,"2016-AUG-30",12.6669,3,0,1,2,"BETU","PAP","PAP",7,0.036,6330000,520000,0.07,0.886683
"3",1101411,"2016-AUG-30",12.6669,2,0,1,1,"PICE","MAR",NA,93,0.964,6330000,520000,0.93,11.780217
"4",1108316,"2004-JUL-11",181.9258,4,0,0,1,"PICE","MAR",NA,100,1,6270000,6e+05,1,181.9258
"5",1108316,"2015-AUG-09",96.1374,5,0,1,1,"PICE","MAR",NA,100,1,6270000,6e+05,1,96.1374
"6",1108326,"2004-JUL-10",126.1484,6,0,0,1,"PICE","MAR",NA,97,0.883,6260000,640000,0.97,122.363948
"7",1108326,"2004-JUL-10",126.1484,8,0,0,3,"POPU","TRE",NA,1,0.032,6260000,640000,0.01,1.261484
"8",1108326,"2004-JUL-10",126.1484,7,0,0,2,"SALI","SCO",NA,2,0.085,6260000,640000,0.02,2.522968
"9",1108326,"2015-AUG-08",180.4876,10,0,1,2,"POPU","TRE",NA,1,0.022,6260000,640000,0.01,1.804876
"10",1108326,"2015-AUG-08",180.4876,9,0,1,1,"PICE","MAR",NA,99,0.978,6260000,640000,0.99,178.682724
"11",1115226,"2004-JUL-08",154.3412,11,0,0,1,"PICE","MAR",NA,100,1,6210000,330000,1,154.3412
"12",1115226,"2010-JUN-27",146.878,12,0,1,1,"PICE","MAR",NA,100,1,6210000,330000,1,146.878
"13",1128906,"2004-JUL-23",73.0067,13,0,0,1,"PICE","MAR",NA,100,1,6290000,390000,1,73.0067
"14",1128906,"2010-JUL-11",76.3221,14,0,1,1,"PICE","MAR",NA,100,1,6290000,390000,1,76.3221
"15",1128941,"2003-JUL-06",162.9253,15,0,0,1,"PICE","MAR",NA,100,1,6240000,520000,1,162.9253
"16",1128956,"2003-JUL-04",13.6239,20,0,0,4,"POPU","TRE",NA,5,0.083,6220000,580000,0.05,0.681195
"17",1128956,"2003-JUL-04",13.6239,19,0,0,3,"PINU","BAN",NA,17,0.083,6220000,580000,0.17,2.316063
