"","nfi_plot","meas_date","biomass_total","meas_num","species_num","genus","species","variety","percent","species_rel","utm_n","utm_e","biomass_composition"
"419",1107921,"2001-JUL-16",206.23,0,2,"LARI","LAR",NA,27.3,0.125,6620000,460000,56.30079
"420",1107921,"2001-JUL-16",206.23,0,1,"PICE","MAR",NA,72.7,0.875,6620000,460000,149.92921
"421",1107921,"2020-JUL-15",188.52,1,2,"LARI","LAR",NA,35.4,0.143,6620000,460000,66.73608
"422",1107921,"2020-JUL-15",188.52,1,1,"PICE","MAR",NA,64.6,0.857,6620000,460000,121.78392
"423",1114666,"2002-JUL-30",379.83,0,1,"PICE","SPP",NA,100,1,6590000,6e+05,379.83
"424",1114726,"2002-JUL-28",1665.37,0,2,"PICE","SPP",NA,19.1,0.243,6600000,5e+05,318.08567
"425",1114726,"2002-JUL-28",1665.37,0,1,"PINU","CON",NA,80.9,0.757,6600000,5e+05,1347.28433
"426",1114726,"2020-AUG-09",2995.16,1,1,"PINU","CON","LAT",74.4,0.722,6600000,5e+05,2228.39904
"427",1114726,"2020-AUG-09",2995.16,1,3,"PICE","MAR",NA,0.8,0.019,6600000,5e+05,23.96128
"428",1114726,"2020-AUG-09",2995.16,1,2,"PICE","GLA",NA,24.8,0.259,6600000,5e+05,742.79968
"429",1114741,"2005-JUL-09",4030.48,0,1,"PICE","MAR",NA,91.4,0.937,6600000,560000,3683.85872
"430",1114741,"2005-JUL-09",4030.48,0,3,"PINU","CON","LAT",3.2,0.016,6600000,560000,128.97536
"431",1114741,"2005-JUL-09",4030.48,0,2,"POPU","BAL",NA,5.4,0.048,6600000,560000,217.64592
"432",1114741,"2020-AUG-17",4281.57,1,2,"POPU","BAL",NA,15.3,0.18,6600000,560000,655.08021
"433",1114741,"2020-AUG-17",4281.57,1,1,"PICE","MAR",NA,79.1,0.76,6600000,560000,3386.72187
"434",1114761,"2005-JUL-07",6155.02,0,1,"PICE","GLA",NA,65.2,0.563,6610000,640000,4013.07304
"435",1114761,"2005-JUL-07",6155.02,0,2,"BETU","PAP",NA,17.5,0.25,6610000,640000,1077.1285
"436",1114761,"2005-JUL-07",6155.02,0,3,"PICE","MAR",NA,10.3,0.125,6610000,640000,633.96706
"437",1114761,"2020-AUG-12",3983.02,1,1,"PICE","GLA",NA,76.8,0.778,6610000,640000,3058.95936
"438",1114846,"2002-JUL-15",4194.64,0,2,"PICE","GLA",NA,19,0.224,6600000,640000,796.9816
"439",1114846,"2002-JUL-15",4194.64,0,1,"POPU","TRE",NA,81,0.776,6600000,640000,3397.6584
"440",1114846,"2019-JUL-15",6708.21,1,2,"PICE","GLA",NA,37.2,0.433,6600000,640000,2495.45412
"441",1114846,"2019-JUL-15",6708.21,1,1,"POPU","TRE",NA,62.1,0.55,6600000,640000,4165.79841
"442",1114846,"2019-JUL-15",6708.21,1,3,"PSEU","MEN","GLA",0.7,0.017,6600000,640000,46.95747
"443",1121576,"2001-AUG-21",3599.97,0,1,"ABIE","LAS",NA,100,1,6580000,380000,3599.97
"444",1121576,"2021-AUG-17",3572.43,1,1,"ABIE","LAS",NA,100,1,6580000,380000,3572.43
"445",1121621,"2001-AUG-24",5778.29,0,2,"PINU","CON",NA,26.9,0.278,6580000,560000,1554.36001
"446",1121621,"2001-AUG-24",5778.29,0,1,"PICE","GLA",NA,73.1,0.722,6580000,560000,4223.92999
"447",1121621,"2020-AUG-19",4641.82,1,1,"PICE","GLA",NA,79.7,0.704,6580000,560000,3699.53054
"448",1121621,"2020-AUG-19",4641.82,1,3,"PICE","MAR",NA,1.6,0.074,6580000,560000,74.26912
"449",1121621,"2020-AUG-19",4641.82,1,2,"PINU","CON","LAT",18.7,0.222,6580000,560000,868.02034
"450",1128496,"2002-JUL-27",308.89,0,1,"PICE","SPP",NA,100,1,6560000,540000,308.89
"451",1128496,"2020-AUG-14",626.67,1,1,"PICE","GLA",NA,100,1,6560000,540000,626.67
"452",1128606,"2002-JUL-09",215.12,0,1,"PICE","MAR",NA,100,1,6560000,640000,215.12
"453",1128606,"2019-JUL-02",353.04,1,1,"PICE","MAR",NA,100,1,6560000,640000,353.04
"454",1128611,"2002-JUL-13",3347.37,0,1,"POPU","TRE",NA,82.9,0.945,6560000,660000,2774.96973
"455",1128611,"2019-JUL-04",4705.28,1,1,"POPU","TRE",NA,73.7,0.85,6560000,660000,3467.79136
"456",1135306,"2003-JUL-23",12267.14,0,1,"ABIE","LAS",NA,100,1,6530000,610000,12267.14
"457",1135306,"2021-JUL-20",12201.8,1,1,"ABIE","LAS",NA,100,1,6530000,610000,12201.8
"458",1135321,"2003-JUL-25",6851.61,0,1,"ABIE","LAS",NA,100,1,6530000,670000,6851.61
"459",1135321,"2021-JUL-19",6650.47,1,1,"ABIE","LAS",NA,100,1,6530000,670000,6650.47
"460",1135396,"2002-JUL-31",4592.9,0,3,"PINU","CON",NA,9.6,0.111,6550000,620000,440.9184
"461",1135396,"2002-JUL-31",4592.9,0,1,"PICE","MAR",NA,57.8,0.667,6550000,620000,2654.6962
"462",1135396,"2002-JUL-31",4592.9,0,2,"PICE","SPP",NA,32.6,0.222,6550000,620000,1497.2854
"463",1135396,"2020-AUG-13",4777.16,1,2,"PICE","GLA",NA,48.8,0.357,6550000,620000,2331.25408
"464",1135396,"2020-AUG-13",4777.16,1,1,"PICE","MAR",NA,51.2,0.643,6550000,620000,2445.90592
"465",1135431,"2000-AUG-26",1158.66,0,1,"PICE","MAR",NA,100,1,6550000,420000,1158.66
"466",1135431,"2020-JUL-04",1153.32,1,1,"PICE","MAR",NA,100,1,6550000,420000,1153.32
"467",1135451,"2004-AUG-27",2988.28,0,1,"PICE","MAR",NA,96.2,0.966,6540000,5e+05,2874.72536
"468",1135451,"2004-AUG-27",2988.28,0,2,"PICE","GLA",NA,3.8,0.034,6540000,5e+05,113.55464
"469",1135451,"2019-JUN-26",3684.68,1,1,"PICE","MAR",NA,96.7,0.978,6540000,5e+05,3563.08556
"470",1135451,"2019-JUN-26",3684.68,1,2,"PICE","GLA",NA,3.3,0.022,6540000,5e+05,121.59444
"471",1135456,"2004-AUG-11",3589.42,0,5,"BETU","SPP",NA,1.3,0.077,6540000,520000,46.66246
"472",1135456,"2004-AUG-11",3589.42,0,1,"PICE","GLA",NA,85.4,0.615,6540000,520000,3065.36468
"473",1135456,"2004-AUG-11",3589.42,0,2,"PICE","MAR",NA,7,0.154,6540000,520000,251.2594
"474",1135456,"2019-JUL-07",3381.53,1,1,"PICE","GLA",NA,83.1,0.615,6540000,520000,2810.05143
"475",1135456,"2019-JUL-07",3381.53,1,2,"PICE","MAR",NA,7.8,0.154,6540000,520000,263.75934
"476",1135471,"2003-JUN-16",24.3,0,1,"LARI","LAR",NA,100,1,6540000,580000,24.3
"477",1135471,"2019-JUL-22",50.45,1,1,"LARI","LAR",NA,100,1,6540000,580000,50.45
"478",1142211,"2003-JUN-24",5459.75,0,1,"PICE","SPP",NA,100,1,6520000,360000,5459.75
