"","nfi_plot","meas_date","NFI_species","utm_n","utm_e","biomass_composition"
"84",1121621,"2001-AUG-24","PINU CON ",6580000,560000,1554.36001
"85",1121621,"2020-AUG-19","PICE GLA ",6580000,560000,3699.91924
"86",1121621,"2020-AUG-19","PICE MAR ",6580000,560000,74.98672
"87",1121621,"2020-AUG-19","PINU CON LAT",6580000,560000,868.02034
"88",1121621,"2020-AUG-19","POPU TRE ",6580000,560000,0.3887
"89",1128496,"2002-JUL-27","PICE SPP ",6560000,540000,380.6943
"90",1128496,"2020-AUG-14","PICE GLA ",6560000,540000,648.4503
"91",1128606,"2002-JUL-09","PICE MAR ",6560000,640000,331.2491
"92",1128606,"2019-JUL-02","PICE MAR ",6560000,640000,432.0469
"93",1128611,"2002-JUL-13","POPU TRE ",6560000,660000,2774.96973
"94",1128611,"2019-JUL-04","POPU TRE ",6560000,660000,3467.79136
"95",1135306,"2003-JUL-23","ABIE LAS ",6530000,610000,12267.14
"96",1135306,"2021-JUL-20","ABIE LAS ",6530000,610000,12201.8
"97",1135321,"2003-JUL-25","ABIE LAS ",6530000,670000,6969.8963
"98",1135321,"2021-JUL-19","ABIE LAS ",6530000,670000,6701.6811
"99",1135396,"2002-JUL-31","PICE MAR ",6550000,620000,2654.6962
"100",1135396,"2002-JUL-31","PICE SPP ",6550000,620000,1497.2854
"101",1135396,"2002-JUL-31","PINU CON ",6550000,620000,440.9184
"102",1135396,"2020-AUG-13","PICE GLA ",6550000,620000,2331.25408
"103",1135396,"2020-AUG-13","PICE MAR ",6550000,620000,2445.90592
"104",1135431,"2000-AUG-26","PICE MAR ",6550000,420000,1238.4045
"105",1135431,"2020-JUL-04","PICE MAR ",6550000,420000,1266.4598
"106",1135451,"2004-AUG-27","PICE GLA ",6540000,5e+05,121.450384
"107",1135451,"2004-AUG-27","PICE MAR ",6540000,5e+05,3648.508272
"108",1135451,"2004-AUG-27","PICE SPP ",6540000,5e+05,7.895744
"109",1135451,"2019-JUN-26","PICE GLA ",6540000,5e+05,121.59444
"110",1135451,"2019-JUN-26","PICE MAR ",6540000,5e+05,3971.85466
"111",1135456,"2004-AUG-11","BETU SPP ",6540000,520000,46.66246
"112",1135456,"2004-AUG-11","PICE GLA ",6540000,520000,3065.36468
"113",1135456,"2004-AUG-11","PICE MAR ",6540000,520000,251.2594
"114",1135456,"2019-JUL-07","PICE GLA ",6540000,520000,2810.05143
"115",1135456,"2019-JUL-07","PICE MAR ",6540000,520000,263.75934
"116",1135471,"2003-JUN-16","BETU NEO ",6540000,580000,33.820272
"117",1135471,"2003-JUN-16","LARI LAR ",6540000,580000,27.118356
"118",1135471,"2003-JUN-16","PICE MAR ",6540000,580000,245.196972
"119",1135471,"2019-JUL-22","BETU NEO ",6540000,580000,20.58604
"120",1135471,"2019-JUL-22","LARI LAR ",6540000,580000,55.59651
"121",1135471,"2019-JUL-22","PICE MAR ",6540000,580000,231.59295
"122",1142211,"2003-JUN-24","PICE SPP ",6520000,360000,5473.99
"123",1142211,"2021-AUG-16","PICE ENG GLA",6520000,360000,6673.2889
"124",1142241,"2003-JUN-25","PINU CON ",6520000,480000,28.532
"125",1142241,"2021-JUL-14","ALNU SPP ",6520000,480000,3.7995
"126",1142316,"2003-JUL-30","PICE MAR ",6530000,440000,37.34376
"127",1142316,"2003-JUL-30","PINU CON LAT",6530000,440000,40.06594
"128",1142316,"2020-JUL-06","PICE MAR ",6530000,440000,260.74268
"129",1142316,"2020-JUL-06","PINU CON ",6530000,440000,98.07662
"130",1142331,"2004-AUG-14","LARI LAR ",6520000,5e+05,25.8315
"131",1142331,"2004-AUG-14","PICE MAR ",6520000,5e+05,582.2706
"132",1142331,"2019-JUL-06","LARI LAR ",6520000,5e+05,40.69004
"133",1142331,"2019-JUL-06","PICE MAR ",6520000,5e+05,610.46426
"134",1142341,"2004-AUG-20","BETU PAP ",6520000,540000,1700.07409
"135",1142341,"2004-AUG-20","PICE GLA ",6520000,540000,328.27491
"136",1142341,"2019-JUL-23","BETU PAP ",6520000,540000,1337.23396
"137",1142341,"2019-JUL-23","PICE GLA ",6520000,540000,702.87244
"138",1149076,"2001-AUG-23","ABIE LAS ",6490000,650000,201.8734
"139",1149076,"2021-JUL-22","ABIE LAS ",6490000,650000,1785.4456
"140",1149111,"2003-JUL-26","ABIE LAS ",6500000,440000,183.43872
"141",1149111,"2003-JUL-26","PICE SPP ",6500000,440000,1727.38128
"142",1149111,"2021-AUG-18","ABIE LAS ",6500000,440000,388.38096
"143",1149111,"2021-AUG-18","PICE SPP ",6500000,440000,1573.13904
"144",1149116,"2002-JUL-23","ABIE LAS ",6500000,460000,6359.56838
"145",1149116,"2002-JUL-23","PICE SPP ",6500000,460000,270.22422
"146",1149116,"2021-JUL-16","ABIE LAS ",6500000,460000,7454.18988
"147",1149116,"2021-JUL-16","PICE SPP ",6500000,460000,337.80032
"148",1149246,"2001-JUL-19","BETU OCC ",6500000,640000,65.568072
"149",1149246,"2001-JUL-19","LARI LAR ",6500000,640000,947.31
"150",1149246,"2019-JUL-11","LARI LAR ",6500000,640000,900.1127
"151",1156121,"2003-JUN-18","LARI LAR ",6480000,610000,1154.351
"152",1156121,"2003-JUN-18","PICE GLA ",6480000,610000,621.25072
"153",1156121,"2003-JUN-18","PICE MAR ",6480000,610000,2422.03828
"154",1156121,"2019-JUL-12","BETU NEO ",6480000,610000,36.24117
"155",1156121,"2019-JUL-12","LARI LAR ",6480000,610000,1537.66107
"156",1156121,"2019-JUL-12","PICE GLA ",6480000,610000,869.78808
"157",1156121,"2019-JUL-12","PICE MAR ",6480000,610000,2733.61968
"158",1162841,"2003-JUN-26","ABIE LAS ",6460000,330000,1898.81
"159",1162966,"2004-AUG-24","ABIE LAS ",6460000,470000,1094.27298
"160",1162966,"2004-AUG-24","PICE GLA ",6460000,470000,360.002316
"161",1162966,"2004-AUG-24","PICE MAR ",6460000,470000,2002.72602
"162",1162966,"2020-JUL-07","ABIE LAS ",6460000,470000,1426.112535
"163",1162966,"2020-JUL-07","PICE GLA ",6460000,470000,389.57415
"164",1162966,"2020-JUL-07","PICE MAR ",6460000,470000,1913.797015
"165",1162986,"2001-JUL-21","PICE GLA ",6460000,550000,11.3483
"166",1162986,"2019-JUL-09","PICE GLA ",6460000,550000,2.806
"167",1163006,"2001-JUL-19","LARI LAR ",6460000,630000,362.042416
"168",1163006,"2001-JUL-19","PICE MAR ",6460000,630000,168.965766
"169",1163006,"2019-JUL-17","LARI LAR ",6460000,630000,333.659702
"170",1163006,"2019-JUL-17","PICE MAR ",6460000,630000,162.655698
"171",1169811,"2003-JUL-24","ABIE LAS ",6450000,330000,2806.16545
"172",1169811,"2003-JUL-24","PICE ENG GLA",6450000,330000,1192.04053
"173",1169811,"2003-JUL-24","PINU CON LAT",6450000,330000,644.72231
"174",1169811,"2018-JUL-17","PINU CON ",6450000,330000,560.01814
"175",1176611,"2002-AUG-01","POPU TRE ",6420000,370000,2892.82776
"176",1176611,"2021-AUG-07","POPU TRE ",6420000,370000,3712.79358
"177",1176651,"2001-AUG-18","PICE MAR ",6420000,530000,1501.9754
"178",1176651,"2021-AUG-04","PICE MAR ",6420000,530000,1274.8472
"179",1176656,"2003-JUN-27","ABIE LAS ",6420000,550000,2123.534
"180",1176656,"2021-JUL-31","ABIE LAS ",6420000,550000,1987.4346
"181",1176756,"2003-JUN-20","PICE MAR ",6420000,590000,47.7416
"182",1176756,"2019-JUL-14","LARI LAR ",6420000,590000,0.863424
"183",1176756,"2019-JUL-14","PICE MAR ",6420000,590000,27.917376
"184",1183516,"2005-JUL-18","ABIE LAS ",6400000,470000,380.486304
"185",1183516,"2005-JUL-18","PICE ENG GLA",6400000,470000,3129.869946
"186",1183516,"2005-JUL-18","POPU TRE ",6400000,470000,1753.65465
"187",1183516,"2021-JUL-29","PICE ENG GLA",6400000,470000,2342.05692
"188",1183516,"2021-JUL-29","PICE SPP ",6400000,470000,16.3013
"189",1183601,"2003-JUN-21","PICE GLA ",6400000,450000,4032.79717
"190",1183601,"2003-JUN-21","POPU BAL ",6400000,450000,753.75853
"191",1183601,"2019-JUL-20","PICE GLA ",6400000,450000,4512.90673
"192",1183601,"2019-JUL-20","POPU BAL ",6400000,450000,772.50117
"193",1190376,"2002-JUL-24","PICE SPP ",6380000,390000,1930.49464
"194",1190376,"2002-JUL-24","POPU BAL ",6380000,390000,283.37536
"195",1190376,"2021-AUG-02","PICE SPP ",6380000,390000,3888.0972
"196",1190376,"2021-AUG-02","POPU BAL ",6380000,390000,510.2028
"197",1190456,"2003-JUL-25","ABIE LAS ",6390000,350000,1706.13426
"198",1190456,"2003-JUL-25","PICE ENG GLA",6390000,350000,12885.80349
"199",1190456,"2003-JUL-25","PINU CON LAT",6390000,350000,374.15225
"200",1190456,"2018-JUL-14","ABIE LAS ",6390000,350000,2507.36536
"201",1190456,"2018-JUL-14","PICE ENG GLA",6390000,350000,15929.14464
"202",1197411,"2001-JUL-24","PICE MAR ",6360000,650000,103.32
"203",1197411,"2019-SEP-08","LARI LAR ",6360000,650000,98.4967
"204",1197411,"2019-SEP-08","PICE MAR ",6360000,650000,195.5233
"205",1204261,"2003-JUN-26","PICE GLA ",6340000,530000,10.87828
"206",1204261,"2003-JUN-26","PICE MAR ",6340000,530000,1751.48572
