"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","meas_date","utm_n","utm_e"
"90",1266321,1,0,1,"PICE","GLA","",91.5,0.84,"2014-JUN-12",6100000,320000
"91",1266321,1,0,2,"LARI","LAR","",5.3,0.08,"2014-JUN-12",6100000,320000
"92",1266326,0,0,1,"POPU","BAL","",70.6,0.5,"2014-MAY-31",6100000,340000
"93",1266326,0,0,3,"PICE","GLA","",7.2,0.167,"2014-MAY-31",6100000,340000
"94",1273136,0,0,1,"POPU","TRE","",100,1,"2006-AUG-15",6120000,440000
"95",1286891,0,0,1,"PICE","MAR","",92.5,0.875,"2008-JUN-03",6080000,410000
"96",1286891,0,0,2,"LARI","LAR","",7.5,0.125,"2008-JUN-03",6080000,410000
"97",1286916,0,0,1,"POPU","TRE","",50.7,0.478,"2006-AUG-16",6070000,510000
"98",1286916,0,0,5,"POPU","BAL","",2.7,0.045,"2006-AUG-16",6070000,510000
"99",1286916,0,0,6,"BETU","PAP","",0.8,0.015,"2006-AUG-16",6070000,510000
"100",1286996,0,0,1,"POPU","TRE","",61.3,0.7,"2014-MAY-31",6010000,440000
"101",1286996,0,0,2,"POPU","BAL","",30.1,0.2,"2014-MAY-31",6010000,440000
"102",1286996,0,0,3,"PICE","GLA","",6.4,0.067,"2014-MAY-31",6010000,440000
"103",1286996,0,0,4,"BETU","PAP","",2.1,0.033,"2014-MAY-31",6010000,440000
"104",1287001,0,0,1,"POPU","TRE","",100,1,"2010-MAY-27",6010000,460000
"105",1293776,0,0,1,"PICE","MAR","",66.5,0.695,"2006-AUG-17",6060000,430000
"106",1293776,0,0,2,"LARI","LAR","",33.5,0.305,"2006-AUG-17",6060000,430000
"107",1300636,0,0,1,"PINU","CON","",72.3,0.769,"2011-MAY-29",6050000,350000
"108",1300636,0,0,2,"POPU","TRE","",25,0.154,"2011-MAY-29",6050000,350000
"109",1300636,0,0,3,"PICE","GLA","",2.8,0.077,"2011-MAY-29",6050000,350000
"110",1307511,0,0,1,"PINU","CON","",89.7,0.889,"2011-MAY-30",6030000,330000
"111",1307516,0,0,1,"PINU","CON","",74.7,0.64,"2011-MAY-30",6030000,350000
"112",1307516,0,0,2,"PICE","MAR","",25.3,0.36,"2011-MAY-30",6030000,350000
"113",1314391,0,0,1,"PINU","CON","",90.1,0.871,"2011-MAY-28",6010000,320000
"114",1314391,0,0,2,"ABIE","BAL","",9.9,0.129,"2011-MAY-28",6010000,320000
"115",1321306,0,0,1,"PINU","BAN","",54.9,0.667,"2006-SEP-03",5970000,460000
"116",1321306,0,0,3,"PICE","MAR","",13.9,0.111,"2006-SEP-03",5970000,460000
"117",1321306,1,0,1,"PICE","MAR","",86.4,0.893,"2007-JUN-12",5970000,460000
"118",1321306,1,0,2,"PINU","CON","",7.7,0.071,"2007-JUN-12",5970000,460000
"119",1321321,0,0,3,"PICE","MAR","",13,0.143,"2011-MAY-26",5970000,520000
"120",1321321,0,0,5,"PICE","GLA","",3.4,0.036,"2011-MAY-26",5970000,520000
"121",1321321,0,0,6,"POPU","BAL","",1.4,0.036,"2011-MAY-26",5970000,520000
"122",1321341,0,0,1,"POPU","TRE","",94.8,0.935,"2006-SEP-01",5960000,600000
"123",1321341,0,0,2,"PICE","GLA","",5.2,0.065,"2006-SEP-01",5960000,600000
"124",1321341,1,0,1,"POPU","TRE","",70.7,0.724,"2013-MAY-28",5960000,600000
"125",1321341,1,0,2,"PICE","GLA","",29.3,0.276,"2013-MAY-28",5960000,600000
"126",1328176,0,0,1,"PICE","MAR","",65.7,0.654,"2007-JUN-15",5960000,420000
"127",1328176,0,0,2,"PINU","CON","",33.9,0.336,"2007-JUN-15",5960000,420000
"128",1328176,0,0,3,"PICE","GLA","",0.4,0.009,"2007-JUN-15",5960000,420000
"129",1328196,0,0,1,"PICE","MAR","",88,0.8,"2011-JUN-12",5950000,500000
"130",1328196,0,0,2,"LARI","LAR","",12,0.2,"2011-JUN-12",5950000,500000
"131",1335061,0,0,1,"PINU","BAN","",75.5,0.822,"2006-SEP-02",5940000,440000
"132",1335061,0,0,2,"POPU","TRE","",22.1,0.156,"2006-SEP-02",5940000,440000
"133",1335061,0,0,3,"POPU","BAL","",2.4,0.022,"2006-SEP-02",5940000,440000
"134",1335061,1,0,1,"PINU","CON","",98.6,0.96,"2007-JUN-14",5940000,440000
"135",1341951,0,0,1,"PICE","GLA","",55.2,0.433,"2010-JUN-14",5910000,470000
"136",1341951,0,0,2,"PINU","CON","",23.8,0.3,"2010-JUN-14",5910000,470000
"137",1341951,0,0,3,"ABIE","BAL","",12.6,0.133,"2010-JUN-14",5910000,470000
"138",1341951,0,0,4,"POPU","TRE","",7.6,0.1,"2010-JUN-14",5910000,470000
"139",1341951,0,0,5,"PINU","SPP","",0.8,0.033,"2010-JUN-14",5910000,470000
"140",1341961,0,0,1,"PICE","GLA","",51.5,0.659,"2010-JUN-12",5910000,510000
"141",1341961,0,0,2,"PINU","CON","",48.5,0.341,"2010-JUN-12",5910000,510000
"142",1348866,0,0,1,"PICE","ENG","",68.9,0.5,"2010-JUN-16",5870000,610000
"143",1348866,0,0,4,"POPU","BAL","",2.2,0.077,"2010-JUN-16",5870000,610000
"144",1348866,0,0,5,"ABIE","BAL","",1.3,0.038,"2010-JUN-16",5870000,610000
"145",1355721,0,0,1,"PINU","CON","",88.4,0.698,"2011-JUN-09",5870000,510000
"146",1355721,0,0,2,"UNKN","SPP","",6.5,0.189,"2011-JUN-09",5870000,510000
"147",1355721,0,0,3,"PICE","ENG","",5.2,0.113,"2011-JUN-09",5870000,510000
"148",1355736,0,0,1,"PICE","GLA","",94.8,0.947,"2006-AUG-23",5860000,560000
"149",1355736,0,0,2,"PINU","CON","",5.2,0.053,"2006-AUG-23",5860000,560000
"150",1369521,0,0,1,"PICE","GLA","",67.8,0.596,"2006-AUG-27",5810000,660000
"151",1369521,1,0,1,"POPU","TRE","",79.3,0.636,"2014-JUN-13",5810000,660000
"152",1369521,1,0,2,"PICE","GLA","",20.7,0.364,"2014-JUN-13",5810000,660000
"153",1390161,0,0,1,"PICE","MAR","",100,1,"2008-MAY-31",5750000,650000
"154",1397046,0,0,1,"PICE","GLA","",50.9,0.636,"2006-AUG-25",5720000,670000
"155",1397046,0,0,2,"POPU","TRE","",46.7,0.318,"2006-AUG-25",5720000,670000
"156",1397046,0,0,3,"PINU","CON","",2.4,0.045,"2006-AUG-25",5720000,670000
"157",1397046,1,0,1,"PICE","GLA","",53.3,0.679,"2008-JUN-14",5720000,670000
"158",1397046,1,0,2,"POPU","TRE","",40.6,0.25,"2008-JUN-14",5720000,670000
"159",1397046,1,0,3,"PINU","CON","",6,0.071,"2008-JUN-14",5720000,670000
