"","nfi_plot","meas_date","smtree_biomass","loc_id","meas_num","species_num","genus","species","variety","smtree_percent","species_strel","utm_n","utm_e","smtree_percent/100","smtree_percent/100 * smtree_biomass"
"121",1211056,"2018-JUL-12",70.6989,0,1,1,"ABIE","LAS","",100,1,6320000,550000,1,70.6989
"122",1211116,"2005-JUN-18",5.964,0,0,1,"ABIE","LAS","",100,1,6330000,430000,1,5.964
"123",1211116,"2018-JUL-15",1.2184,0,1,1,"ABIE","LAS","",100,1,6330000,430000,1,1.2184
"124",1217986,"2003-JUL-27",114.2365,0,0,1,"ABIE","LAS","",100,1,6310000,390000,1,114.2365
"125",1217986,"2018-JUL-21",76.3055,0,1,1,"ABIE","LAS","",99,0.944,6310000,390000,0.99,75.542445
"126",1217986,"2018-JUL-21",76.3055,0,1,2,"PICE","ENG","GLA",2,0.056,6310000,390000,0.02,1.52611
"127",1217996,"2002-AUG-18",114.5783,0,0,1,"PICE","GLA","",89,0.983,6310000,430000,0.89,101.974687
"128",1217996,"2002-AUG-18",114.5783,0,0,2,"ABIE","LAS","",11,0.017,6310000,430000,0.11,12.603613
"129",1217996,"2018-JUL-11",107.409,0,1,2,"ABIE","LAS","",9,0.079,6310000,430000,0.09,9.66681
"130",1217996,"2018-JUL-11",107.409,0,1,1,"PICE","GLA","",92,0.921,6310000,430000,0.92,98.81628
"131",1224876,"2005-JUN-19",165.4715,0,0,1,"ABIE","LAS","",100,1,6290000,430000,1,165.4715
"132",1224876,"2018-JUL-13",141.1326,0,1,1,"ABIE","LAS","",100,1,6290000,430000,1,141.1326
"133",1224886,"2002-JUL-06",122.3986,0,0,1,"PICE","ENG","GLA",100,1,6280000,470000,1,122.3986
"134",1224886,"2019-JUL-28",60.7114,0,1,1,"PICE","ENG","GLA",100,1,6280000,470000,1,60.7114
"135",1231676,"2001-AUG-26",2.2425,0,0,1,"PICE","LUT","X",100,1,6260000,470000,1,2.2425
"136",1231676,"2021-JUL-26",63.9302,0,1,1,"ABIE","LAS","",98,0.556,6260000,470000,0.98,62.651596
"137",1231676,"2021-JUL-26",63.9302,0,1,2,"TSUG","HET","",2,0.444,6260000,470000,0.02,1.278604
"138",1231761,"2000-AUG-01",39.2097,0,0,1,"PICE","ENG","GLA",59,0.667,6260000,450000,0.59,23.133723
"139",1231761,"2000-AUG-01",39.2097,0,0,2,"POPU","BAL","",41,0.333,6260000,450000,0.41,16.075977
"140",1231761,"2018-JUL-20",21.1549,0,1,5,"POPU","BAL","BAL",3,0.029,6260000,450000,0.03,0.634647
"141",1245481,"2002-AUG-16",42.6706,0,0,1,"ABIE","LAS","",100,1,6230000,660000,1,42.6706
"142",1245481,"2017-JUL-24",31.0266,0,1,1,"ABIE","LAS","",100,1,6230000,660000,1,31.0266
"143",1245546,"2000-JUL-30",119.4066,0,0,1,"PICE","MAR","",82,0.417,6220000,540000,0.82,97.913412
"144",1245546,"2019-SEP-10",22.5849,0,1,1,"PICE","ENG","GLA",56,0.5,6220000,540000,0.56,12.647544
"145",1259296,"2001-JUN-17",165.9355,0,0,1,"ABIE","LAS","",100,1,6180000,500000,1,165.9355
"146",1259296,"2018-JUL-09",46.9193,0,1,1,"ABIE","LAS","",100,1,6180000,500000,1,46.9193
"147",1273001,"2002-JUL-09",2.982,0,0,1,"ABIE","LAS","",100,1,6150000,660000,1,2.982
"148",1273001,"2017-AUG-18",12.6439,0,1,1,"ABIE","LAS","",100,1,6150000,660000,1,12.6439
"149",1273031,"2003-AUG-28",116.3586,0,0,2,"PINU","CON","LAT",12,0.438,6150000,400000,0.12,13.963032
"150",1273031,"2003-AUG-28",116.3586,0,0,1,"ABIE","LAS","",82,0.5,6150000,400000,0.82,95.414052
"151",1273031,"2003-AUG-28",116.3586,0,0,3,"PICE","ENG","GLA",6,0.063,6150000,400000,0.06,6.981516
"152",1273031,"2018-JUL-08",60.1619,0,1,3,"PINU","CON","",14,0.077,6150000,400000,0.14,8.422666
"153",1273031,"2018-JUL-08",60.1619,0,1,2,"PICE","ENG","GLA",16,0.231,6150000,400000,0.16,9.625904
"154",1273031,"2018-JUL-08",60.1619,0,1,1,"ABIE","LAS","",71,0.692,6150000,400000,0.71,42.714949
"155",1279876,"2003-AUG-18",102.7532,0,0,1,"ABIE","LAS","",100,1,6130000,640000,1,102.7532
"156",1279961,"2000-JUL-28",4.8919,0,0,1,"PICE","SPP","",100,1,6120000,600000,1,4.8919
"157",1286771,"2001-JUN-21",7.5193,0,0,1,"PICE","ENG","GLA",100,1,6110000,320000,1,7.5193
"158",1286771,"2014-JUL-22",38.8321,0,1,1,"PICE","ENG","GLA",100,1,6110000,320000,1,38.8321
"159",1286856,"2003-JUN-29",48.891,0,0,1,"PICE","MAR","",100,1,6100000,660000,1,48.891
"160",1286856,"2019-SEP-06",7.5054,0,1,1,"PICE","MAR","",100,1,6100000,660000,1,7.5054
"161",1293696,"2001-JUN-18",109.2326,0,0,1,"ABIE","LAS","",89,0.986,6080000,500000,0.89,97.217014
"162",1293696,"2001-JUN-18",109.2326,0,0,2,"PICE","ENG","GLA",11,0.014,6080000,500000,0.11,12.015586
"163",1293696,"2014-AUG-28",73.8273,0,1,2,"PICE","ENG","GLA",19,0.023,6080000,500000,0.19,14.027187
"164",1293696,"2014-AUG-28",73.8273,0,1,1,"ABIE","LAS","",81,0.977,6080000,500000,0.81,59.800113
"165",1300521,"2002-JUL-04",204.7042,0,0,1,"ABIE","LAS","",100,1,6070000,660000,1,204.7042
"166",1300581,"2001-JUN-13",12.0471,0,0,1,"ABIE","LAS","",100,1,6060000,520000,1,12.0471
"167",1300581,"2014-AUG-24",18.8606,0,1,2,"PICE","ENG","GLA",4,0.25,6060000,520000,0.04,0.754424
"168",1300581,"2014-AUG-24",18.8606,0,1,1,"ABIE","LAS","",96,0.75,6060000,520000,0.96,18.106176
"169",1300611,"2001-JUL-29",77.1844,0,0,1,"ABIE","LAS","",93,0.963,6060000,640000,0.93,71.781492
