"","nfi_plot","meas_date","meas_num","bindex_ltshannon","bindex_lteven","bindex_ltmargalef","bindex_stshannon","bindex_steven","bindex_stmargalef"
"122",1273451,"2009-AUG-09",1,0.59,0.85,0.35,0,0,0
"123",1273466,"2003-AUG-14",0,0.69,0.99,0.46,0.37,0.53,0.29
"124",1273466,"2014-AUG-18",1,0.69,0.99,0.42,0.41,0.59,0.28
"125",1280296,"2003-JUL-29",0,0.1,0.15,0.2,0,0,0
"126",1280296,"2018-SEP-10",2,0.06,0.09,0.22,0,0,0
"127",1280371,"2003-JUL-21",0,0,0,0,0.37,0.54,0.23
"128",1280371,"2014-JUL-22",1,0,0,0,0.47,0.67,0.28
"129",1287181,"2003-JUN-06",0,1.34,0.83,1.21,0,0,0
"130",1287181,"2008-JUN-06",1,1.44,0.89,1.31,0,0,0
"131",1287181,"2018-SEP-09",2,1.42,0.88,1.36,0,0,0
"132",1287251,"2003-JUL-15",0,0.38,0.54,0.48,1.1,1,0.67
"133",1287251,"2019-JUN-26",2,1.14,0.82,0.75,0.7,0.64,0.72
"134",1287256,"2003-AUG-31",0,0.7,0.51,0.78,0,0,0
"135",1287256,"2014-AUG-20",1,0.54,0.39,0.76,0,0,0
"136",1287286,"2003-JUL-04",0,0.64,0.92,0.24,0,0,0
"137",1287286,"2013-JUL-06",1,0.58,0.84,0.25,0,0,0
"138",1294076,"2003-JUL-29",0,0.56,0.81,0.48,0,0,0
"139",1294076,"2008-AUG-06",1,0.53,0.76,0.46,0,0,0
"140",1294076,"2018-AUG-25",2,0.89,0.81,0.74,0,0,0
"141",1294121,"2004-JUN-08",0,0,0,0,1,0.72,0.63
"142",1294121,"2014-JUN-10",1,0.39,0.57,0.37,0.69,1,0.32
"143",1294161,"2003-JUN-19",0,0.43,0.31,0.63,0.58,0.52,0.54
"144",1294161,"2013-JUL-03",1,0.55,0.39,0.65,0,0,0
"145",1294166,"2004-AUG-10",0,0,0,0,0,0,0
"146",1294166,"2009-AUG-07",1,0,0,0,0,0,0
"147",1294166,"2019-JUN-19",2,0,0,0,0,0,0
"148",1307826,"2003-JUN-04",0,0.56,0.4,0.77,0.56,0.81,0.72
"149",1307826,"2018-AUG-02",2,0.97,0.89,0.96,0.77,0.7,0.55
"150",1307926,"2003-AUG-30",0,0.85,0.77,0.54,0,0,0
"151",1307926,"2009-AUG-19",1,0.95,0.68,0.82,0,0,0
"152",1307926,"2019-SEP-19",2,0.93,0.67,0.81,0,0,0
"153",1314711,"2003-JUN-07",0,0.34,0.31,0.44,0.92,0.83,0.68
"154",1314711,"2018-AUG-24",2,0.67,0.48,0.63,0.66,0.95,0.48
"155",1314811,"2003-JUN-05",0,0.56,0.51,0.64,0.6,0.86,0.51
"156",1321586,"2003-JUN-03",0,0.34,0.31,0.45,0.5,0.72,0.62
"157",1321586,"2008-JUN-23",1,0.33,0.3,0.45,0.64,0.92,0.91
"158",1321586,"2018-AUG-02",2,0.39,0.35,0.47,0,0,0
"159",1321686,"2003-JUN-03",0,0.64,0.92,0.91,0.5,0.72,0.62
"160",1321686,"2009-JUN-01",1,1.04,0.95,1.44,0.5,0.72,0.62
"161",1321686,"2019-JUN-20",2,0.75,0.68,0.62,0.69,1,1.44
"162",1328496,"2003-AUG-06",0,1.24,0.9,0.87,0,0,0
"163",1328496,"2013-AUG-10",1,1.31,0.94,0.87,0.69,1,0.56
"164",1328581,"2004-AUG-09",0,0.64,0.92,0.91,0.29,0.41,0.28
"165",1328581,"2009-AUG-04",1,0.56,0.81,0.72,0.28,0.41,0.28
"166",1328581,"2019-SEP-18",2,0.41,0.59,0.51,0.23,0.34,0.29
"167",1328586,"2003-JUN-22",0,0,0,0,0.35,0.5,0.46
"168",1328586,"2014-JUN-19",1,0.56,0.81,0.48,0.53,0.76,0.46
"169",1335371,"2003-JUL-31",0,1.01,0.92,1.12,0,0,0
"170",1335371,"2013-AUG-08",1,0.64,0.92,0.91,0.64,0.92,0.91
"171",1335381,"2003-JUL-31",0,1.19,0.86,1.04,0,0,0
"172",1335381,"2013-AUG-07",1,1.03,0.94,0.76,0,0,0
"173",1342331,"2003-JUN-07",0,0,0,0,0,0,0
"174",1342331,"2009-JUN-04",1,0.18,0.26,0.32,0,0,0
"175",1342351,"2004-AUG-09",0,0.62,0.9,0.36,0.85,0.53,0.81
"176",1342351,"2009-AUG-05",1,0.62,0.9,0.34,0.64,0.92,0.56
"177",1342351,"2019-SEP-17",2,0.58,0.84,0.31,0.68,0.99,0.51
"178",1349216,"2003-JUN-05",0,0,0,0,0,0,0
"179",1349216,"2009-JUN-05",1,0,0,0,0,0,0
"180",1356096,"2003-JUL-07",0,0.4,0.58,0.3,0,0,0
"181",1356096,"2014-JUL-08",1,0,0,0,0,0,0
"182",1356106,"2003-JUN-16",0,0.6,0.86,0.27,0,0,0
