"","nfi_plot","meas_date","meas_num","bindex_ltshannon","bindex_lteven","bindex_ltmargalef","bindex_stshannon","bindex_steven","bindex_stmargalef"
"369",1417566,"2009-AUG-20",1,0,0,0,0,0,0
"370",1417566,"2013-JUL-07",2,0.29,0.41,0.4,0,0,0
"371",1417576,"2004-JUN-18",0,0.69,1,0.26,0.16,0.23,0.21
"372",1417576,"2009-AUG-21",1,0.42,0.6,0.3,0,0,0
"373",1417576,"2013-JUL-09",2,0.38,0.54,0.29,0.12,0.17,0.27
"374",1417611,"2005-JUL-20",0,0.56,0.81,0.4,0,0,0
"375",1417646,"2000-AUG-17",0,0.95,0.86,1.24,0,0,0
"376",1424411,"2000-AUG-30",0,0.78,0.71,0.59,0,0,0
"377",1424411,"2013-AUG-15",1,0.97,0.89,0.68,0.21,0.3,0.34
"378",1424421,"2003-JUN-30",0,0,0,0,0,0,0
"379",1424421,"2013-SEP-13",1,0.12,0.17,0.27,0,0,0
"380",1424456,"2004-JUN-16",0,0.83,0.76,0.51,0.42,0.38,0.61
"381",1424456,"2013-JUN-27",1,0.66,0.6,0.49,0.5,0.72,0.43
"382",1424471,"2002-JUN-23",0,0.72,0.65,0.54,0,0,0
"383",1424471,"2014-JUL-09",1,0.3,0.43,0.28,0,0,0
"384",1431281,"2000-AUG-31",0,0.05,0.07,0.21,0,0,0
"385",1431326,"2001-MAY-24",0,0.69,0.99,0.26,0,0,0
"386",1431326,"2009-AUG-18",1,0,0,0,0,0,0
"387",1431326,"2013-JUN-23",2,0,0,0,0,0,0
"388",1431371,"2002-JUL-06",0,1.13,0.7,1.05,0,0,0
"389",1431371,"2015-JUL-31",1,1.14,0.71,1.08,0,0,0
"390",1431401,"2000-AUG-18",0,0.49,0.45,0.57,0.45,0.65,0.56
"391",1438116,"2003-JUL-01",0,0.96,0.87,0.49,0.34,0.48,0.34
"392",1438136,"2002-JUL-05",0,0,0,0,0,0,0
"393",1438251,"2003-JUL-18",0,0.88,0.8,0.58,0.3,0.43,0.32
"394",1438251,"2015-AUG-02",1,0.92,0.83,0.57,0.69,1,0.72
"395",1444996,"2000-SEP-13",0,0.75,0.69,0.71,0,0,0
"396",1445001,"2005-JUN-30",0,0.69,0.99,0.27,0.29,0.41,0.4
"397",1445086,"2003-JUL-22",0,0,0,0,0,0,0
"398",1445086,"2014-JUL-02",1,0,0,0,0,0,0
"399",1445106,"2003-JUL-21",0,0.8,0.58,1,0.5,0.72,0.26
"400",1445106,"2009-AUG-17",1,0.69,0.49,0.99,0.63,0.9,0.31
"401",1445106,"2014-JUL-03",2,0.39,0.36,0.67,0.5,0.72,0.62
"402",1445166,"2002-JUL-08",0,0.26,0.37,0.38,0,0,0
"403",1445166,"2016-JUL-14",1,0,0,0,0,0,0
"404",1445171,"2003-AUG-20",0,0,0,0,0,0,0
"405",1451876,"2003-JUN-30",0,0.18,0.26,0.32,0,0,0
"406",1451886,"2002-JUL-02",0,0.69,0.5,0.72,0.86,0.78,0.49
"407",1451906,"2003-JUL-04",0,0.6,0.55,0.83,0,0,0
"408",1451976,"2002-JUN-22",0,0.5,0.72,0.62,0,0,0
"409",1451976,"2014-SEP-13",1,0.6,0.86,0.51,0.71,0.65,0.48
"410",1452016,"2004-JUL-26",0,0.61,0.87,0.28,0,0,0
"411",1452016,"2015-AUG-04",1,0.63,0.91,0.29,0,0,0
