"","nfi_plot","meas_date","meas_num","bindex_ltshannon","bindex_lteven","bindex_ltmargalef","bindex_stshannon","bindex_steven","bindex_stmargalef"
"90",1293921,"2006-SEP-18",0,0.82,0.75,0.6,0.64,0.92,0.46
"91",1293921,"2014-AUG-06",1,0.82,0.75,0.6,0,0,0
"92",1293931,"2004-JUL-19",0,0.97,0.88,0.47,0.25,0.35,0.37
"93",1293931,"2012-AUG-04",1,0.86,0.79,0.46,0.38,0.54,0.48
"94",1294021,"2003-SEP-04",0,0.56,0.81,0.36,0.41,0.59,0.51
"95",1294021,"2013-AUG-28",1,0.56,0.81,0.72,0,0,0
"96",1294041,"2004-SEP-26",0,0.69,1,0.43,1.65,0.85,1.82
"97",1294041,"2013-AUG-29",1,0.5,0.72,0.62,0.8,0.73,1.03
"98",1294051,"2004-SEP-25",0,0,0,0,0.31,0.45,0.33
"99",1294051,"2017-OCT-04",1,0.5,0.45,0.53,0.56,0.81,0.72
"100",1307731,"2003-SEP-30",0,0.19,0.28,0.33,0.39,0.36,0.67
"101",1307731,"2015-AUG-28",1,0.22,0.31,0.28,0,0,0
"102",1321581,"2003-SEP-05",0,0.87,0.8,0.71,0.72,0.66,0.52
"103",1321581,"2013-AUG-26",1,0.8,0.73,0.87,0,0,0
