"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","meas_date","utm_n","utm_e"
"59",1156546,0,0,2,"PINU","BAN","",4.8,0.024,"2003-JUL-17",6030000,420000
"60",1163381,0,0,1,"PICE","MAR","",100,1,"2003-AUG-15",6090000,630000
"61",1170181,0,0,1,"PICE","MAR","",100,1,"2004-JUL-21",6190000,330000
"62",1170181,0,1,1,"PICE","MAR","",100,1,"2016-AUG-15",6190000,330000
"63",1170231,0,0,1,"PINU","BAN","",87.2,0.889,"2003-AUG-17",6110000,520000
"64",1170231,0,0,2,"PICE","MAR","",12.8,0.111,"2003-AUG-17",6110000,520000
"65",1170231,0,1,1,"PINU","BAN","",86.4,0.875,"2017-JUL-05",6110000,520000
"66",1170231,0,1,2,"PICE","MAR","",13.6,0.125,"2017-JUL-05",6110000,520000
"67",1170251,0,0,1,"PICE","MAR","",80.8,0.915,"2003-AUG-12",6080000,590000
"68",1170251,0,0,2,"PICE","GLA","",18.5,0.064,"2003-AUG-12",6080000,590000
"69",1170251,0,0,3,"BETU","PAP","PAP",0.7,0.021,"2003-AUG-12",6080000,590000
"70",1170251,0,1,1,"PICE","MAR","",68,0.893,"2017-JUL-06",6080000,510000
"71",1170251,0,1,2,"PICE","GLA","",32,0.107,"2017-JUL-06",6080000,510000
"72",1177066,0,0,1,"POPU","TRE","",100,1,"2004-JUN-22",6160000,340000
"73",1177066,0,1,1,"POPU","TRE","",100,1,"2016-AUG-14",6160000,340000
"74",1177091,0,0,1,"PINU","BAN","",95.3,0.917,"2003-JUN-19",6130000,430000
"75",1177091,0,0,2,"PICE","MAR","",4.7,0.083,"2003-JUN-19",6130000,430000
"76",1177121,0,0,1,"PICE","MAR","",63.8,0.664,"2003-AUG-14",6080000,550000
"77",1177121,0,0,2,"PINU","BAN","",33.6,0.306,"2003-AUG-14",6080000,550000
"78",1177121,0,0,3,"POPU","TRE","",2.5,0.03,"2003-AUG-14",6080000,550000
"79",1177121,0,1,1,"PICE","MAR","",70.6,0.737,"2012-AUG-22",6080000,550000
"80",1177121,0,1,2,"PINU","BAN","",27.3,0.244,"2012-AUG-22",6080000,550000
"81",1177121,0,1,3,"POPU","TRE","",2.1,0.019,"2012-AUG-22",6080000,550000
"82",1177126,0,1,1,"POPU","TRE","",68.3,0.692,"2017-JUL-07",6070000,560000
"83",1177126,0,1,2,"PICE","GLA","",31.7,0.308,"2017-JUL-07",6070000,560000
"84",1177131,0,0,1,"PICE","MAR","",100,1,"2003-AUG-12",6070000,580000
"85",1183976,0,0,1,"PICE","MAR","",100,1,"2004-JUN-23",6100000,450000
"86",1183991,0,0,1,"PICE","MAR","",55,0.72,"2003-AUG-13",6080000,500000
"87",1183991,0,0,4,"POPU","TRE","",3.1,0.04,"2003-AUG-13",6080000,500000
"88",1183991,0,1,1,"PICE","MAR","",72.2,0.844,"2017-JUN-13",6080000,500000
"89",1183991,0,1,2,"POPU","BAL","",18.2,0.078,"2017-JUN-13",6080000,500000
"90",1190861,0,0,1,"PICE","MAR","",80.7,0.855,"2003-JUN-17",6070000,460000
"91",1190861,0,0,2,"LARI","LAR","",10.9,0.097,"2003-JUN-17",6070000,460000
"92",1190861,0,0,3,"PINU","BAN","",8.4,0.048,"2003-JUN-17",6070000,460000
"93",1190916,0,0,1,"PINU","BAN","",49.7,0.5,"2004-JUN-12",5990000,660000
"94",1190916,0,0,2,"LARI","LAR","",25.2,0.25,"2004-JUN-12",5990000,660000
"95",1190916,0,0,3,"PICE","MAR","",25.2,0.25,"2004-JUN-12",5990000,660000
"96",1190916,0,1,1,"LARI","LAR","",58.1,0.5,"2017-JUL-10",5990000,660000
"97",1190916,0,1,2,"PICE","MAR","",41.9,0.5,"2017-JUL-10",5990000,660000
"98",1190951,0,0,1,"PINU","BAN","",71.6,0.655,"2004-JUN-14",5930000,390000
"99",1190951,0,0,2,"PICE","MAR","",28.4,0.345,"2004-JUN-14",5930000,390000
"100",1197741,0,0,1,"LARI","LAR","",78.7,0.79,"2003-JUN-17",6060000,450000
"101",1197741,0,0,2,"PICE","MAR","",21.3,0.21,"2003-JUN-17",6060000,450000
"102",1197741,0,1,1,"LARI","LAR","",84.5,0.846,"2016-AUG-24",6060000,450000
"103",1197741,0,1,2,"PICE","MAR","",15.5,0.154,"2016-AUG-24",6060000,450000
"104",1197746,0,0,1,"PICE","MAR","",100,1,"2003-JUN-22",6050000,470000
"105",1197751,0,0,1,"LARI","LAR","",79.5,0.75,"2003-JUN-23",6040000,490000
"106",1197751,0,0,2,"PICE","MAR","",20.5,0.25,"2003-JUN-23",6040000,490000
"107",1197751,0,1,1,"LARI","LAR","",83.4,0.8,"2016-AUG-12",6040000,490000
"108",1197751,0,1,2,"PICE","MAR","",16.6,0.2,"2016-AUG-12",6040000,490000
"109",1197761,0,0,1,"PICE","MAR","",100,1,"2003-AUG-17",6030000,520000
"110",1197761,0,1,1,"PICE","MAR","",100,1,"2017-JUL-09",6030000,520000
"111",1197766,0,0,1,"LARI","LAR","",50.6,0.566,"2003-JUL-15",6020000,540000
"112",1197766,0,0,2,"PICE","MAR","",40.9,0.329,"2003-JUL-15",6020000,540000
"113",1197766,0,0,3,"BETU","PAP","PAP",8.5,0.105,"2003-JUL-15",6020000,540000
"114",1197766,0,1,1,"LARI","LAR","",59.8,0.672,"2012-JUL-06",6020000,540000
"115",1197766,0,1,2,"PICE","MAR","",37.9,0.295,"2012-JUL-06",6020000,540000
"116",1197766,0,1,3,"BETU","PAP","",2.3,0.033,"2012-JUL-06",6020000,540000
"117",1204606,0,0,1,"PICE","MAR","",65,0.8,"2003-AUG-26",6060000,390000
"118",1204606,0,0,2,"PINU","BAN","",35,0.2,"2003-AUG-26",6060000,390000
"119",1204606,0,1,1,"PICE","MAR","",62.7,0.818,"2016-AUG-11",6060000,390000
"120",1204606,0,1,2,"PINU","BAN","",37.3,0.182,"2016-AUG-11",6060000,390000
"121",1211476,0,0,1,"PICE","MAR","",80.5,0.845,"2003-AUG-29",6060000,340000
"122",1211476,0,0,2,"POPU","BAL","",8.3,0.099,"2003-AUG-29",6060000,340000
"123",1211476,0,0,3,"LARI","LAR","",6,0.042,"2003-AUG-29",6060000,340000
"124",1211476,0,0,4,"POPU","TRE","",5.2,0.014,"2003-AUG-29",6060000,340000
"125",1211486,0,0,1,"PICE","MAR","",83,0.864,"2003-AUG-28",6040000,380000
"126",1211486,0,0,2,"LARI","LAR","",17,0.136,"2003-AUG-28",6040000,380000
"127",1211511,0,0,1,"PICE","MAR","",100,1,"2004-JUN-13",6000000,470000
"128",1211511,0,1,1,"PICE","MAR","",77.7,0.769,"2016-AUG-09",6000000,470000
"129",1211511,0,1,2,"POPU","BAL","",22.3,0.231,"2016-AUG-09",6000000,470000
"130",1211561,0,0,1,"PICE","MAR","",100,1,"2004-JUN-12",5930000,660000
"131",1211561,0,1,1,"PICE","MAR","",100,1,"2017-JUL-11",5930000,660000
"132",1218376,0,0,1,"PICE","MAR","",82.7,0.871,"2003-AUG-28",6010000,410000
"133",1218376,0,0,2,"LARI","LAR","",17.3,0.129,"2003-AUG-28",6010000,410000
"134",1218376,0,1,1,"PICE","MAR","",81.9,0.885,"2016-AUG-10",6010000,410000
"135",1218376,0,1,2,"LARI","LAR","",18.1,0.115,"2016-AUG-10",6010000,410000
"136",1218396,0,0,1,"PICE","MAR","",87.1,0.931,"2004-JUN-09",5980000,480000
"137",1218396,0,0,2,"POPU","TRE","",12.9,0.069,"2004-JUN-09",5980000,480000
"138",1218396,0,1,1,"PICE","MAR","",83,0.918,"2017-SEP-08",5980000,480000
"139",1218396,0,1,2,"POPU","TRE","",17,0.082,"2017-SEP-08",5980000,480000
"140",1225241,0,0,1,"PICE","MAR","",74.3,0.865,"2003-JUN-20",6010000,340000
"141",1225241,0,0,2,"POPU","TRE","",25.7,0.135,"2003-JUN-20",6010000,340000
"142",1225241,0,1,1,"PICE","MAR","",74.4,0.745,"2013-JUN-19",6010000,340000
"143",1225241,0,1,2,"POPU","TRE","",24.5,0.235,"2013-JUN-19",6010000,340000
"144",1225241,0,1,3,"PINU","BAN","",1.1,0.02,"2013-JUN-19",6010000,340000
"145",1232216,0,0,1,"PICE","MAR","",84.7,0.875,"2003-AUG-27",5850000,690000
"146",1232216,0,0,2,"LARI","LAR","",15.3,0.125,"2003-AUG-27",5850000,690000
"147",1232216,0,1,1,"PICE","MAR","",67.1,0.5,"2013-AUG-22",5850000,690000
"148",1239011,0,0,1,"POPU","BAL","",94.7,0.857,"2003-AUG-30",5960000,370000
