"","nfi_plot","meas_date","meas_num","bindex_ltshannon","bindex_lteven","bindex_ltmargalef","bindex_stshannon","bindex_steven","bindex_stmargalef"
"86",1073521,"2017-AUG-13",1,1,0.72,1,1.01,0.92,1.12
"87",1073561,"2003-SEP-01",0,0.64,0.92,0.56,0.64,0.92,0.56
"88",1073561,"2016-AUG-21",1,0,0,0,0,0,0
"89",1073566,"2004-JUL-20",0,0.61,0.88,0.43,0.61,0.88,0.43
"90",1073566,"2009-JUL-29",1,0.66,0.95,0.42,0.59,0.85,0.42
"91",1080421,"2004-JUL-09",0,0.6,0.86,0.51,0.6,0.86,0.33
"92",1080421,"2017-AUG-11",1,0.66,0.95,0.48,0.52,0.75,0.38
"93",1080431,"2004-JUL-21",0,1.31,0.95,0.7,0.96,0.87,0.76
"94",1080431,"2017-AUG-11",1,1.04,0.95,0.52,0,0,0
"95",1080471,"2003-AUG-18",0,0,0,0,0,0,0
"96",1080471,"2009-JUL-25",1,0,0,0,0,0,0
"97",1080481,"2003-AUG-20",0,0,0,0,0,0,0
"98",1080481,"2009-JUL-25",1,0.21,0.3,0.34,0,0,0
"99",1087286,"2004-JUL-11",0,0.55,0.79,0.28,0.5,0.72,0.62
"100",1087286,"2018-AUG-15",1,0.3,0.44,0.32,0,0,0
"101",1087331,"2004-JUL-21",0,0,0,0,0,0,0
"102",1087331,"2017-AUG-10",1,0,0,0,0,0,0
"103",1087351,"2003-AUG-18",0,0,0,0,0.14,0.2,0.29
"104",1087351,"2015-AUG-19",1,0,0,0,0.11,0.16,0.27
"105",1087371,"2003-AUG-15",0,1.01,0.92,0.59,0,0,0
"106",1087371,"2015-AUG-21",1,0.95,0.87,0.59,0,0,0
"107",1087376,"2003-AUG-15",0,0.69,0.99,0.24,0,0,0
"108",1087376,"2015-AUG-19",1,0.69,0.99,0.25,0,0,0
"109",1094196,"2009-JUL-29",0,0,0,0,0,0,0
"110",1094196,"2021-JUL-24",1,0,0,0,0,0,0
"111",777571,"2006-JUL-18",0,0,0,0,0,0,0
"112",777611,"2006-JUL-19",0,0,0,0,0,0,0
"113",784461,"2006-JUL-19",0,0,0,0,0,0,0
"114",791331,"2006-JUL-21",0,0,0,0,0,0,0
"115",798196,"2006-JUL-21",0,0,0,0,0.59,0.85,0.32
"116",798221,"2006-JUL-28",0,0,0,0,0,0,0
"117",805121,"2006-JUL-22",0,0,0,0,0,0,0
"118",805126,"2006-JUL-22",0,0.64,0.92,0.56,0.64,0.92,0.56
"119",805141,"2005-AUG-10",0,0.64,0.92,0.46,0.56,0.81,0.4
"120",811951,"2006-JUL-20",0,0,0,0,0.47,0.68,0.42
"121",812001,"2006-JUL-22",0,0,0,0,0,0,0
"122",812016,"2006-JUL-27",0,0,0,0,0.88,0.8,0.76
"123",812056,"2005-AUG-08",0,0.35,0.5,0.35,1.58,0.98,1.28
"124",812056,"2021-JUL-17",1,0.3,0.43,0.32,0,0,0
"125",818836,"2006-JUL-20",0,0,0,0,0,0,0
"126",818856,"2006-JUL-21",0,0,0,0,0,0,0
"127",825796,"2005-AUG-09",0,0.69,1,0.72,1,0.91,0.71
"128",832646,"2006-JUL-23",0,0.69,1,1.44,0,0,0
"129",832656,"2006-JUL-23",0,0.8,0.73,0.87,0.68,0.99,0.33
"130",839536,"2006-JUL-25",0,0,0,0,0.44,0.63,0.34
"131",839551,"2005-AUG-11",0,0,0,0,1.28,0.92,1.54
"132",839566,"2005-AUG-08",0,0,0,0,0.69,1,0.72
"133",839566,"2021-JUL-19",1,0,0,0,0.67,0.97,0.62
"134",846411,"2006-JUL-27",0,0,0,0,0.53,0.76,0.46
"135",846411,"2021-JUL-15",1,0,0,0,0.64,0.92,0.46
